irr-C2-4	4	1	1	0	True	(1,0)
irr-C2-5	5	2	-4	3	False	(0,1)
irr-C2-16-h	8	6	-6	12	True	(1,1)
irr-C2-10	10	6	12	3	False	(2,0)
irr-C2-14	14	14	-52	51	False	(0,2)
irr-C2-20	20	21	69	24	True	(3,0)
irr-C2-40-h	20	29	-91	132	True	(1,2)
irr-C2-56-h	28	63	423	180	True	(5,0)
irr-C2-30	30	54	-324	351	False	(0,3)
irr-C2-64-h	32	56	104	192	True	(3,1)
irr-C2-35a	35	42	12	111	False	(2,1)
irr-C2-35b	35	56	272	108	False	(4,0)
irr-C2-80-h	40	94	-542	732	True	(1,3)
irr-C2-55	55	154	-1364	1551	False	(0,4)
irr-C2-120-h	60	231	2607	1188	True	(7,0)
irr-C2-160-h	80	252	1476	1368	True	(5,1)
irr-C2-81	81	162	-324	891	False	(2,2)
irr-C2-84	84	252	2232	990	False	(6,0)
irr-C2-91	91	364	-4472	5226	False	(0,5)
irr-C2-105	105	252	936	1098	False	(4,1)
irr-C2-224-h	112	532	-6740	8712	True	(1,5)
irr-C2-256-h	128	480	-1632	4992	True	(3,3)
irr-C2-140a	140	371	-157	2424	True	(3,2)
irr-C2-140b	140	483	-4317	5664	True	(1,4)
irr-C2-140c	140	756	-12312	14634	False	(0,6)
irr-C2-154	154	462	-2244	4191	False	(2,3)
irr-C2-320-h	160	792	8712	6336	True	(7,1)
irr-C2-165	165	792	11088	5148	False	(8,0)
irr-C2-336-h	168	1050	-17814	22824	True	(1,6)
irr-C2-204	204	1428	-29784	35802	False	(0,7)
irr-C2-220b	220	1287	21879	10296	True	(9,0)
irr-C2-220a	220	748	1144	5742	False	(4,2)
irr-C2-231	231	924	7656	6138	False	(6,1)
irr-C2-480-h	240	1908	-41652	53064	True	(1,7)
irr-C2-260	260	1092	-9048	14586	False	(2,4)
irr-C2-560a-h	280	1554	1326	20676	True	(5,3)
irr-C2-560b-h	280	2002	34606	22308	True	(9,1)
irr-C2-560c-h	280	3094	98566	47736	True	(13,0)
irr-C2-285	285	2508	-65208	79002	False	(0,8)
irr-C2-286	286	2002	40612	19305	False	(10,0)
irr-C2-616-h	308	1925	18029	22836	True	(7,2)
irr-C2-640-h	320	2096	-23536	42624	True	(3,5)
irr-C2-324	324	1377	5265	12312	True	(5,2)
irr-C2-364	364	3003	71643	34320	True	(11,0)
irr-C2-385	385	4158	-131868	160677	False	(0,9)
irr-C2-390	390	1794	-2652	21177	False	(4,3)
irr-C2-405	405	2268	-27864	41634	False	(2,5)
irr-C2-816-h	408	5814	238374	116280	True	(15,0)
irr-C2-420	420	2121	-14871	31824	True	(3,4)
irr-C2-429	429	2574	36036	24453	False	(8,1)
irr-C2-880b-h	440	5258	-174922	221364	True	(1,9)
irr-C2-880a-h	440	3102	-9042	57288	True	(5,4)
irr-C2-896-h	448	4368	107952	64896	True	(11,1)
irr-C2-455a	455	2366	15236	24453	False	(6,2)
irr-C2-455b	455	4368	121056	58344	False	(12,0)
