vtx-F04-n52-n5-n3	Δ = -52	bi.bi = -5	b0.bi = -3	
vtx-F04-273-49-21	Δ = 273	bi.bi = 49	b0.bi = 21	1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-286-8-10	Δ = 286	bi.bi = 8	b0.bi = 10	13 x (irr-F4-26)
vtx-F04-286-11-11	Δ = 286	bi.bi = 11	b0.bi = 11	11 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-286-14-12	Δ = 286	bi.bi = 14	b0.bi = 12	9 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-286-17-13	Δ = 286	bi.bi = 17	b0.bi = 13	7 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-286-20-14	Δ = 286	bi.bi = 20	b0.bi = 14	5 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-286-23-15	Δ = 286	bi.bi = 23	b0.bi = 15	3 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-286-26-16	Δ = 286	bi.bi = 26	b0.bi = 16	1 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-298-65-25	Δ = 298	bi.bi = 65	b0.bi = 25	1 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-299-47-21	Δ = 299	bi.bi = 47	b0.bi = 21	3 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-299-50-22	Δ = 299	bi.bi = 50	b0.bi = 22	1 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-312-9-11	Δ = 312	bi.bi = 9	b0.bi = 11	14 x (irr-F4-26)
vtx-F04-312-12-12	Δ = 312	bi.bi = 12	b0.bi = 12	12 x (irr-F4-26) + 1 x (irr-F4-52)
vtx-F04-312-15-13	Δ = 312	bi.bi = 15	b0.bi = 13	10 x (irr-F4-26) + 2 x (irr-F4-52)
vtx-F04-312-18-14	Δ = 312	bi.bi = 18	b0.bi = 14	8 x (irr-F4-26) + 3 x (irr-F4-52)
vtx-F04-312-21-15	Δ = 312	bi.bi = 21	b0.bi = 15	6 x (irr-F4-26) + 4 x (irr-F4-52)
vtx-F04-312-24-16	Δ = 312	bi.bi = 24	b0.bi = 16	4 x (irr-F4-26) + 5 x (irr-F4-52)
vtx-F04-312-27-17	Δ = 312	bi.bi = 27	b0.bi = 17	2 x (irr-F4-26) + 6 x (irr-F4-52)
vtx-F04-312-30-18	Δ = 312	bi.bi = 30	b0.bi = 18	7 x (irr-F4-52)
vtx-F04-324-66-26	Δ = 324	bi.bi = 66	b0.bi = 26	2 x (irr-F4-26) + 1 x (irr-F4-324)
vtx-F04-324-69-27	Δ = 324	bi.bi = 69	b0.bi = 27	1 x (irr-F4-52) + 1 x (irr-F4-324)
vtx-F04-325-48-22	Δ = 325	bi.bi = 48	b0.bi = 22	4 x (irr-F4-26) + 1 x (irr-F4-273)
vtx-F04-325-51-23	Δ = 325	bi.bi = 51	b0.bi = 23	2 x (irr-F4-26) + 1 x (irr-F4-52) + 1 x (irr-F4-273)
vtx-F04-325-54-24	Δ = 325	bi.bi = 54	b0.bi = 24	2 x (irr-F4-52) + 1 x (irr-F4-273)
