vtx-D05-n25-n4-n2	Δ = -25	bi.bi = -4	b0.bi = -2	2 x (irr-D5-10)
vtx-D05-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D5-45)
vtx-D05-1-n3-n1	Δ = 1	bi.bi = -3	b0.bi = -1	3 x (irr-D5-10) + 1 x (irr-D5-16)
vtx-D05-27-n2-0	Δ = 27	bi.bi = -2	b0.bi = 0	4 x (irr-D5-10) + 2 x (irr-D5-16)
vtx-D05-53-n1-1	Δ = 53	bi.bi = -1	b0.bi = 1	5 x (irr-D5-10) + 3 x (irr-D5-16)
vtx-D05-79-0-2	Δ = 79	bi.bi = 0	b0.bi = 2	6 x (irr-D5-10) + 4 x (irr-D5-16)
vtx-D05-26-1-1	Δ = 26	bi.bi = 1	b0.bi = 1	1 x (irr-D5-10) + 1 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-52-2-2	Δ = 52	bi.bi = 2	b0.bi = 2	2 x (irr-D5-10) + 2 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-77-6-4	Δ = 77	bi.bi = 6	b0.bi = 4	2 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-78-3-3	Δ = 78	bi.bi = 3	b0.bi = 3	3 x (irr-D5-10) + 3 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-103-7-5	Δ = 103	bi.bi = 7	b0.bi = 5	1 x (irr-D5-10) + 3 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-104-4-4	Δ = 104	bi.bi = 4	b0.bi = 4	4 x (irr-D5-10) + 4 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-105-1-3	Δ = 105	bi.bi = 1	b0.bi = 3	7 x (irr-D5-10) + 5 x (irr-D5-16)
vtx-D05-129-8-6	Δ = 129	bi.bi = 8	b0.bi = 6	2 x (irr-D5-10) + 4 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-130-5-5	Δ = 130	bi.bi = 5	b0.bi = 5	5 x (irr-D5-10) + 5 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-131-2-4	Δ = 131	bi.bi = 2	b0.bi = 4	8 x (irr-D5-10) + 6 x (irr-D5-16)
vtx-D05-154-12-8	Δ = 154	bi.bi = 12	b0.bi = 8	4 x (irr-D5-16) + 3 x (irr-D5-45)
vtx-D05-155-9-7	Δ = 155	bi.bi = 9	b0.bi = 7	3 x (irr-D5-10) + 5 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-156-6-6	Δ = 156	bi.bi = 6	b0.bi = 6	6 x (irr-D5-10) + 6 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-157-3-5	Δ = 157	bi.bi = 3	b0.bi = 5	9 x (irr-D5-10) + 7 x (irr-D5-16)
vtx-D05-175-20-10	Δ = 175	bi.bi = 20	b0.bi = 10	10 x (irr-D5-10) + 1 x (irr-D5-120)
vtx-D05-179-26-12	Δ = 179	bi.bi = 26	b0.bi = 12	5 x (irr-D5-16) + 1 x (irr-D5-144)
vtx-D05-180-13-9	Δ = 180	bi.bi = 13	b0.bi = 9	1 x (irr-D5-10) + 5 x (irr-D5-16) + 3 x (irr-D5-45)
vtx-D05-181-10-8	Δ = 181	bi.bi = 10	b0.bi = 8	4 x (irr-D5-10) + 6 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-182-7-7	Δ = 182	bi.bi = 7	b0.bi = 7	7 x (irr-D5-10) + 7 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-183-4-6	Δ = 183	bi.bi = 4	b0.bi = 6	10 x (irr-D5-10) + 8 x (irr-D5-16)
vtx-D05-200-24-12	Δ = 200	bi.bi = 24	b0.bi = 12	8 x (irr-D5-10) + 1 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-201-21-11	Δ = 201	bi.bi = 21	b0.bi = 11	11 x (irr-D5-10) + 1 x (irr-D5-16) + 1 x (irr-D5-120)
vtx-D05-205-27-13	Δ = 205	bi.bi = 27	b0.bi = 13	1 x (irr-D5-10) + 6 x (irr-D5-16) + 1 x (irr-D5-144)
vtx-D05-206-14-10	Δ = 206	bi.bi = 14	b0.bi = 10	2 x (irr-D5-10) + 6 x (irr-D5-16) + 3 x (irr-D5-45)
vtx-D05-207-11-9	Δ = 207	bi.bi = 11	b0.bi = 9	5 x (irr-D5-10) + 7 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-208-8-8	Δ = 208	bi.bi = 8	b0.bi = 8	8 x (irr-D5-10) + 8 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-209-5-7	Δ = 209	bi.bi = 5	b0.bi = 7	11 x (irr-D5-10) + 9 x (irr-D5-16)
vtx-D05-225-28-14	Δ = 225	bi.bi = 28	b0.bi = 14	6 x (irr-D5-10) + 2 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-225-40-16	Δ = 225	bi.bi = 40	b0.bi = 16	9 x (irr-D5-10) + 1 x (irr-D5-54) + 1 x (irr-D5-126)
vtx-D05-226-25-13	Δ = 226	bi.bi = 25	b0.bi = 13	9 x (irr-D5-10) + 1 x (irr-D5-16) + 1 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-227-22-12	Δ = 227	bi.bi = 22	b0.bi = 12	12 x (irr-D5-10) + 2 x (irr-D5-16) + 1 x (irr-D5-120)
vtx-D05-231-18-12	Δ = 231	bi.bi = 18	b0.bi = 12	6 x (irr-D5-16) + 4 x (irr-D5-45)
vtx-D05-231-28-14	Δ = 231	bi.bi = 28	b0.bi = 14	2 x (irr-D5-10) + 7 x (irr-D5-16) + 1 x (irr-D5-144)
vtx-D05-232-15-11	Δ = 232	bi.bi = 15	b0.bi = 11	3 x (irr-D5-10) + 7 x (irr-D5-16) + 3 x (irr-D5-45)
vtx-D05-233-12-10	Δ = 233	bi.bi = 12	b0.bi = 10	6 x (irr-D5-10) + 8 x (irr-D5-16) + 2 x (irr-D5-45)
vtx-D05-234-9-9	Δ = 234	bi.bi = 9	b0.bi = 9	9 x (irr-D5-10) + 9 x (irr-D5-16) + 1 x (irr-D5-45)
vtx-D05-235-6-8	Δ = 235	bi.bi = 6	b0.bi = 8	12 x (irr-D5-10) + 10 x (irr-D5-16)
vtx-D05-249-45-19	Δ = 249	bi.bi = 45	b0.bi = 19	3 x (irr-D5-10) + 1 x (irr-D5-120) + 1 x (irr-D5-144)
vtx-D05-249-48-20	Δ = 249	bi.bi = 48	b0.bi = 20	1 x (irr-D5-54) + 2 x (irr-D5-120)
vtx-D05-250-32-16	Δ = 250	bi.bi = 32	b0.bi = 16	4 x (irr-D5-10) + 3 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-250-44-18	Δ = 250	bi.bi = 44	b0.bi = 18	7 x (irr-D5-10) + 1 x (irr-D5-45) + 1 x (irr-D5-54) + 1 x (irr-D5-126)
vtx-D05-251-29-15	Δ = 251	bi.bi = 29	b0.bi = 15	7 x (irr-D5-10) + 1 x (irr-D5-16) + 2 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-251-41-17	Δ = 251	bi.bi = 41	b0.bi = 17	10 x (irr-D5-10) + 1 x (irr-D5-16) + 1 x (irr-D5-54) + 1 x (irr-D5-126)
vtx-D05-252-26-14	Δ = 252	bi.bi = 26	b0.bi = 14	10 x (irr-D5-10) + 2 x (irr-D5-16) + 1 x (irr-D5-45) + 1 x (irr-D5-120)
vtx-D05-253-23-13	Δ = 253	bi.bi = 23	b0.bi = 13	13 x (irr-D5-10) + 3 x (irr-D5-16) + 1 x (irr-D5-120)
vtx-D05-256-32-16	Δ = 256	bi.bi = 32	b0.bi = 16	7 x (irr-D5-16) + 1 x (irr-D5-45) + 1 x (irr-D5-144)
