vtx-D06-n18-n4-n2	Δ = -18	bi.bi = -4	b0.bi = -2	4 x (irr-D6-12)
vtx-D06-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D6-66)
vtx-D06-10-n3-n1	Δ = 10	bi.bi = -3	b0.bi = -1	5 x (irr-D6-12) + 1 x (irr-D6-32-h)
vtx-D06-38-n2-0	Δ = 38	bi.bi = -2	b0.bi = 0	6 x (irr-D6-12) + 2 x (irr-D6-32-h)
vtx-D06-66-n1-1	Δ = 66	bi.bi = -1	b0.bi = 1	7 x (irr-D6-12) + 3 x (irr-D6-32-h)
vtx-D06-94-0-2	Δ = 94	bi.bi = 0	b0.bi = 2	8 x (irr-D6-12) + 4 x (irr-D6-32-h)
vtx-D06-28-1-1	Δ = 28	bi.bi = 1	b0.bi = 1	1 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-56-2-2	Δ = 56	bi.bi = 2	b0.bi = 2	2 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-84-3-3	Δ = 84	bi.bi = 3	b0.bi = 3	3 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-112-4-4	Δ = 112	bi.bi = 4	b0.bi = 4	4 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-122-1-3	Δ = 122	bi.bi = 1	b0.bi = 3	9 x (irr-D6-12) + 5 x (irr-D6-32-h)
vtx-D06-126-24-10	Δ = 126	bi.bi = 24	b0.bi = 10	1 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-130-8-6	Δ = 130	bi.bi = 8	b0.bi = 6	4 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-140-5-5	Δ = 140	bi.bi = 5	b0.bi = 5	5 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-150-2-4	Δ = 150	bi.bi = 2	b0.bi = 4	10 x (irr-D6-12) + 6 x (irr-D6-32-h)
vtx-D06-154-25-11	Δ = 154	bi.bi = 25	b0.bi = 11	1 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-158-9-7	Δ = 158	bi.bi = 9	b0.bi = 7	1 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-168-6-6	Δ = 168	bi.bi = 6	b0.bi = 6	6 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-178-3-5	Δ = 178	bi.bi = 3	b0.bi = 5	11 x (irr-D6-12) + 7 x (irr-D6-32-h)
vtx-D06-182-26-12	Δ = 182	bi.bi = 26	b0.bi = 12	2 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-186-10-8	Δ = 186	bi.bi = 10	b0.bi = 8	2 x (irr-D6-12) + 6 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-196-7-7	Δ = 196	bi.bi = 7	b0.bi = 7	7 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-206-4-6	Δ = 206	bi.bi = 4	b0.bi = 6	12 x (irr-D6-12) + 8 x (irr-D6-32-h)
vtx-D06-210-27-13	Δ = 210	bi.bi = 27	b0.bi = 13	3 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-214-11-9	Δ = 214	bi.bi = 11	b0.bi = 9	3 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	8 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-234-5-7	Δ = 234	bi.bi = 5	b0.bi = 7	13 x (irr-D6-12) + 9 x (irr-D6-32-h)
vtx-D06-238-28-14-a	Δ = 238	bi.bi = 28	b0.bi = 14	4 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-238-28-14-b	Δ = 238	bi.bi = 28	b0.bi = 14	7 x (irr-D6-12) + 1 x (irr-D6-220)
vtx-D06-242-12-10	Δ = 242	bi.bi = 12	b0.bi = 10	4 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-252-9-9	Δ = 252	bi.bi = 9	b0.bi = 9	9 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-256-32-16-a	Δ = 256	bi.bi = 32	b0.bi = 16	3 x (irr-D6-12) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-256-32-16-b	Δ = 256	bi.bi = 32	b0.bi = 16	5 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-260-16-12	Δ = 260	bi.bi = 16	b0.bi = 12	8 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-262-6-8	Δ = 262	bi.bi = 6	b0.bi = 8	14 x (irr-D6-12) + 10 x (irr-D6-32-h)
vtx-D06-266-29-15-a	Δ = 266	bi.bi = 29	b0.bi = 15	8 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-266-29-15-b	Δ = 266	bi.bi = 29	b0.bi = 15	5 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-267-16-12	Δ = 267	bi.bi = 16	b0.bi = 12	16 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-270-13-11	Δ = 270	bi.bi = 13	b0.bi = 11	5 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-280-10-10	Δ = 280	bi.bi = 10	b0.bi = 10	10 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-284-33-17-a	Δ = 284	bi.bi = 33	b0.bi = 17	1 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-284-33-17-b	Δ = 284	bi.bi = 33	b0.bi = 17	4 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-288-17-13	Δ = 288	bi.bi = 17	b0.bi = 13	1 x (irr-D6-12) + 9 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-290-7-9	Δ = 290	bi.bi = 7	b0.bi = 9	15 x (irr-D6-12) + 11 x (irr-D6-32-h)
vtx-D06-294-30-16-a	Δ = 294	bi.bi = 30	b0.bi = 16	9 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-294-30-16-b	Δ = 294	bi.bi = 30	b0.bi = 16	6 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-295-17-13	Δ = 295	bi.bi = 17	b0.bi = 13	1 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-298-14-12	Δ = 298	bi.bi = 14	b0.bi = 12	6 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-302-37-19	Δ = 302	bi.bi = 37	b0.bi = 19	1 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-308-11-11	Δ = 308	bi.bi = 11	b0.bi = 11	11 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-312-34-18-a	Δ = 312	bi.bi = 34	b0.bi = 18	2 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-312-34-18-b	Δ = 312	bi.bi = 34	b0.bi = 18	5 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-316-18-14	Δ = 316	bi.bi = 18	b0.bi = 14	2 x (irr-D6-12) + 10 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-318-8-10	Δ = 318	bi.bi = 8	b0.bi = 10	16 x (irr-D6-12) + 12 x (irr-D6-32-h)
vtx-D06-322-31-17-a	Δ = 322	bi.bi = 31	b0.bi = 17	7 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-322-31-17-b	Δ = 322	bi.bi = 31	b0.bi = 17	10 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-323-18-14	Δ = 323	bi.bi = 18	b0.bi = 14	2 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-326-15-13	Δ = 326	bi.bi = 15	b0.bi = 13	7 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-330-38-20	Δ = 330	bi.bi = 38	b0.bi = 20	1 x (irr-D6-12) + 2 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-336-12-12	Δ = 336	bi.bi = 12	b0.bi = 12	12 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-340-35-19-a	Δ = 340	bi.bi = 35	b0.bi = 19	6 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-340-35-19-b	Δ = 340	bi.bi = 35	b0.bi = 19	3 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-344-19-15	Δ = 344	bi.bi = 19	b0.bi = 15	3 x (irr-D6-12) + 11 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-346-9-11	Δ = 346	bi.bi = 9	b0.bi = 11	17 x (irr-D6-12) + 13 x (irr-D6-32-h)
vtx-D06-350-32-18-a	Δ = 350	bi.bi = 32	b0.bi = 18	8 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-350-32-18-b	Δ = 350	bi.bi = 32	b0.bi = 18	11 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-351-19-15	Δ = 351	bi.bi = 19	b0.bi = 15	3 x (irr-D6-12) + 19 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-354-16-14	Δ = 354	bi.bi = 16	b0.bi = 14	8 x (irr-D6-12) + 12 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-354-55-25	Δ = 354	bi.bi = 55	b0.bi = 25	2 x (irr-D6-12) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-358-39-21	Δ = 358	bi.bi = 39	b0.bi = 21	2 x (irr-D6-12) + 3 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
