vtx-D06-n18-n4-n2	Δ = -18	bi.bi = -4	b0.bi = -2	4 x (irr-D6-12)
vtx-D06-364-13-13	Δ = 364	bi.bi = 13	b0.bi = 13	13 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-368-36-20-a	Δ = 368	bi.bi = 36	b0.bi = 20	4 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-368-36-20-b	Δ = 368	bi.bi = 36	b0.bi = 20	7 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-372-20-16	Δ = 372	bi.bi = 20	b0.bi = 16	4 x (irr-D6-12) + 12 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-374-10-12	Δ = 374	bi.bi = 10	b0.bi = 12	18 x (irr-D6-12) + 14 x (irr-D6-32-h)
vtx-D06-378-33-19-a	Δ = 378	bi.bi = 33	b0.bi = 19	9 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-378-33-19-b	Δ = 378	bi.bi = 33	b0.bi = 19	12 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-379-20-16	Δ = 379	bi.bi = 20	b0.bi = 16	4 x (irr-D6-12) + 20 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-382-17-15	Δ = 382	bi.bi = 17	b0.bi = 15	9 x (irr-D6-12) + 13 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-382-56-26-a	Δ = 382	bi.bi = 56	b0.bi = 26	6 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-382-56-26-b	Δ = 382	bi.bi = 56	b0.bi = 26	3 x (irr-D6-12) + 1 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-386-40-22-a	Δ = 386	bi.bi = 40	b0.bi = 22	9 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-386-40-22-b	Δ = 386	bi.bi = 40	b0.bi = 22	3 x (irr-D6-12) + 4 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-390-24-18	Δ = 390	bi.bi = 24	b0.bi = 18	12 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-392-14-14	Δ = 392	bi.bi = 14	b0.bi = 14	14 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-396-37-21-a	Δ = 396	bi.bi = 37	b0.bi = 21	5 x (irr-D6-12) + 10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-396-37-21-b	Δ = 396	bi.bi = 37	b0.bi = 21	8 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-397-24-18	Δ = 397	bi.bi = 24	b0.bi = 18	20 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-400-21-17	Δ = 400	bi.bi = 21	b0.bi = 17	5 x (irr-D6-12) + 13 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-402-11-13	Δ = 402	bi.bi = 11	b0.bi = 13	19 x (irr-D6-12) + 15 x (irr-D6-32-h)
vtx-D06-406-34-20-a	Δ = 406	bi.bi = 34	b0.bi = 20	13 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-406-34-20-b	Δ = 406	bi.bi = 34	b0.bi = 20	10 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-407-21-17	Δ = 407	bi.bi = 21	b0.bi = 17	5 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-410-18-16	Δ = 410	bi.bi = 18	b0.bi = 16	10 x (irr-D6-12) + 14 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-410-57-27-a	Δ = 410	bi.bi = 57	b0.bi = 27	1 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-410-57-27-b	Δ = 410	bi.bi = 57	b0.bi = 27	4 x (irr-D6-12) + 2 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-414-41-23-a	Δ = 414	bi.bi = 41	b0.bi = 23	1 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-414-41-23-b	Δ = 414	bi.bi = 41	b0.bi = 23	4 x (irr-D6-12) + 5 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-418-25-19	Δ = 418	bi.bi = 25	b0.bi = 19	1 x (irr-D6-12) + 13 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-420-15-15	Δ = 420	bi.bi = 15	b0.bi = 15	15 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-424-38-22-a	Δ = 424	bi.bi = 38	b0.bi = 22	6 x (irr-D6-12) + 11 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-424-38-22-b	Δ = 424	bi.bi = 38	b0.bi = 22	9 x (irr-D6-12) + 6 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-425-25-19	Δ = 425	bi.bi = 25	b0.bi = 19	1 x (irr-D6-12) + 21 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-428-22-18	Δ = 428	bi.bi = 22	b0.bi = 18	6 x (irr-D6-12) + 14 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-428-61-29	Δ = 428	bi.bi = 61	b0.bi = 29	2 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-430-12-14	Δ = 430	bi.bi = 12	b0.bi = 14	20 x (irr-D6-12) + 16 x (irr-D6-32-h)
vtx-D06-432-45-25	Δ = 432	bi.bi = 45	b0.bi = 25	5 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-434-35-21-a	Δ = 434	bi.bi = 35	b0.bi = 21	11 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-434-35-21-b	Δ = 434	bi.bi = 35	b0.bi = 21	14 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-435-22-18	Δ = 435	bi.bi = 22	b0.bi = 18	6 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-438-19-17	Δ = 438	bi.bi = 19	b0.bi = 17	11 x (irr-D6-12) + 15 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-438-58-28-a	Δ = 438	bi.bi = 58	b0.bi = 28	2 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-438-58-28-b	Δ = 438	bi.bi = 58	b0.bi = 28	5 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-439-45-25	Δ = 439	bi.bi = 45	b0.bi = 25	13 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-442-42-24-a	Δ = 442	bi.bi = 42	b0.bi = 24	5 x (irr-D6-12) + 6 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-442-42-24-b	Δ = 442	bi.bi = 42	b0.bi = 24	2 x (irr-D6-12) + 11 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-446-26-20	Δ = 446	bi.bi = 26	b0.bi = 20	2 x (irr-D6-12) + 14 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-448-16-16	Δ = 448	bi.bi = 16	b0.bi = 16	16 x (irr-D6-12) + 16 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-452-39-23-a	Δ = 452	bi.bi = 39	b0.bi = 23	10 x (irr-D6-12) + 7 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-452-39-23-b	Δ = 452	bi.bi = 39	b0.bi = 23	7 x (irr-D6-12) + 12 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-453-26-20	Δ = 453	bi.bi = 26	b0.bi = 20	2 x (irr-D6-12) + 22 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-456-23-19	Δ = 456	bi.bi = 23	b0.bi = 19	7 x (irr-D6-12) + 15 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-456-62-30	Δ = 456	bi.bi = 62	b0.bi = 30	1 x (irr-D6-12) + 3 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-458-13-15	Δ = 458	bi.bi = 13	b0.bi = 15	21 x (irr-D6-12) + 17 x (irr-D6-32-h)
vtx-D06-460-46-26	Δ = 460	bi.bi = 46	b0.bi = 26	1 x (irr-D6-12) + 6 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-462-36-22-a	Δ = 462	bi.bi = 36	b0.bi = 22	15 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-462-36-22-b	Δ = 462	bi.bi = 36	b0.bi = 22	12 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-463-23-19	Δ = 463	bi.bi = 23	b0.bi = 19	7 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-466-20-18	Δ = 466	bi.bi = 20	b0.bi = 18	12 x (irr-D6-12) + 16 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-466-59-29-a	Δ = 466	bi.bi = 59	b0.bi = 29	3 x (irr-D6-12) + 9 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-466-59-29-b	Δ = 466	bi.bi = 59	b0.bi = 29	6 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-467-46-26	Δ = 467	bi.bi = 46	b0.bi = 26	1 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-470-43-25-a	Δ = 470	bi.bi = 43	b0.bi = 25	3 x (irr-D6-12) + 12 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-470-43-25-b	Δ = 470	bi.bi = 43	b0.bi = 25	6 x (irr-D6-12) + 7 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-474-27-21	Δ = 474	bi.bi = 27	b0.bi = 21	3 x (irr-D6-12) + 15 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-476-17-17	Δ = 476	bi.bi = 17	b0.bi = 17	17 x (irr-D6-12) + 17 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-480-40-24-a	Δ = 480	bi.bi = 40	b0.bi = 24	8 x (irr-D6-12) + 13 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-480-40-24-b	Δ = 480	bi.bi = 40	b0.bi = 24	11 x (irr-D6-12) + 8 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-481-27-21	Δ = 481	bi.bi = 27	b0.bi = 21	3 x (irr-D6-12) + 23 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-484-24-20	Δ = 484	bi.bi = 24	b0.bi = 20	8 x (irr-D6-12) + 16 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-484-63-31	Δ = 484	bi.bi = 63	b0.bi = 31	2 x (irr-D6-12) + 4 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-486-14-16	Δ = 486	bi.bi = 14	b0.bi = 16	22 x (irr-D6-12) + 18 x (irr-D6-32-h)
vtx-D06-488-47-27	Δ = 488	bi.bi = 47	b0.bi = 27	2 x (irr-D6-12) + 7 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-490-37-23-a	Δ = 490	bi.bi = 37	b0.bi = 23	13 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-352a-h)
vtx-D06-490-37-23-b	Δ = 490	bi.bi = 37	b0.bi = 23	16 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-220)
vtx-D06-491-24-20	Δ = 491	bi.bi = 24	b0.bi = 20	8 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-77)
vtx-D06-494-21-19	Δ = 494	bi.bi = 21	b0.bi = 19	13 x (irr-D6-12) + 17 x (irr-D6-32-h) + 2 x (irr-D6-66)
vtx-D06-494-60-30-a	Δ = 494	bi.bi = 60	b0.bi = 30	4 x (irr-D6-12) + 10 x (irr-D6-32-h) + 2 x (irr-D6-352a-h)
vtx-D06-494-60-30-b	Δ = 494	bi.bi = 60	b0.bi = 30	7 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-494-60-30-c	Δ = 494	bi.bi = 60	b0.bi = 30	10 x (irr-D6-12) + 2 x (irr-D6-220)
vtx-D06-495-47-27	Δ = 495	bi.bi = 47	b0.bi = 27	2 x (irr-D6-12) + 15 x (irr-D6-32-h) + 1 x (irr-D6-77) + 1 x (irr-D6-220)
vtx-D06-498-44-26-a	Δ = 498	bi.bi = 44	b0.bi = 26	7 x (irr-D6-12) + 8 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-498-44-26-b	Δ = 498	bi.bi = 44	b0.bi = 26	4 x (irr-D6-12) + 13 x (irr-D6-32-h) + 2 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-502-28-22	Δ = 502	bi.bi = 28	b0.bi = 22	4 x (irr-D6-12) + 16 x (irr-D6-32-h) + 4 x (irr-D6-66)
vtx-D06-504-18-18	Δ = 504	bi.bi = 18	b0.bi = 18	18 x (irr-D6-12) + 18 x (irr-D6-32-h) + 1 x (irr-D6-66)
vtx-D06-508-41-25-a	Δ = 508	bi.bi = 41	b0.bi = 25	12 x (irr-D6-12) + 9 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-508-41-25-b	Δ = 508	bi.bi = 41	b0.bi = 25	9 x (irr-D6-12) + 14 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h)
vtx-D06-509-28-22	Δ = 509	bi.bi = 28	b0.bi = 22	4 x (irr-D6-12) + 24 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-77)
vtx-D06-512-25-21	Δ = 512	bi.bi = 25	b0.bi = 21	9 x (irr-D6-12) + 17 x (irr-D6-32-h) + 3 x (irr-D6-66)
vtx-D06-512-64-32-a	Δ = 512	bi.bi = 64	b0.bi = 32	6 x (irr-D6-12) + 1 x (irr-D6-66) + 2 x (irr-D6-220)
vtx-D06-512-64-32-b	Δ = 512	bi.bi = 64	b0.bi = 32	10 x (irr-D6-32-h) + 1 x (irr-D6-66) + 2 x (irr-D6-352a-h)
vtx-D06-512-64-32-c	Δ = 512	bi.bi = 64	b0.bi = 32	3 x (irr-D6-12) + 5 x (irr-D6-32-h) + 1 x (irr-D6-66) + 1 x (irr-D6-352a-h) + 1 x (irr-D6-220)
vtx-D06-514-15-17	Δ = 514	bi.bi = 15	b0.bi = 17	23 x (irr-D6-12) + 19 x (irr-D6-32-h)
vtx-D06-516-48-28-a	Δ = 516	bi.bi = 48	b0.bi = 28	3 x (irr-D6-12) + 8 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-220)
vtx-D06-516-48-28-b	Δ = 516	bi.bi = 48	b0.bi = 28	13 x (irr-D6-32-h) + 3 x (irr-D6-66) + 1 x (irr-D6-352a-h)
