vtx-D07-n7-n4-n2	Δ = -7	bi.bi = -4	b0.bi = -2	6 x (irr-D7-14)
vtx-D07-741-36-30	Δ = 741	bi.bi = 36	b0.bi = 30	6 x (irr-D7-14) + 6 x (irr-D7-64) + 4 x (irr-D7-91)
vtx-D07-748-40-32	Δ = 748	bi.bi = 40	b0.bi = 32	6 x (irr-D7-64) + 5 x (irr-D7-91)
vtx-D07-749-32-28	Δ = 749	bi.bi = 32	b0.bi = 28	16 x (irr-D7-14) + 8 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-753-52-34	Δ = 753	bi.bi = 52	b0.bi = 34	16 x (irr-D7-14) + 4 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-756-36-30	Δ = 756	bi.bi = 36	b0.bi = 30	10 x (irr-D7-14) + 8 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-760-56-36	Δ = 760	bi.bi = 56	b0.bi = 36	10 x (irr-D7-14) + 4 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-763-40-32	Δ = 763	bi.bi = 40	b0.bi = 32	4 x (irr-D7-14) + 8 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-767-60-38	Δ = 767	bi.bi = 60	b0.bi = 38	4 x (irr-D7-14) + 4 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-785-44-34	Δ = 785	bi.bi = 44	b0.bi = 34	2 x (irr-D7-14) + 10 x (irr-D7-64) + 2 x (irr-D7-104)
vtx-D07-789-64-40	Δ = 789	bi.bi = 64	b0.bi = 40	2 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-104) + 1 x (irr-D7-364)
vtx-D07-793-84-46	Δ = 793	bi.bi = 84	b0.bi = 46	2 x (irr-D7-14) + 2 x (irr-D7-64) + 2 x (irr-D7-364)
vtx-D07-833-24-26	Δ = 833	bi.bi = 24	b0.bi = 26	34 x (irr-D7-14) + 7 x (irr-D7-64)
vtx-D07-840-28-28	Δ = 840	bi.bi = 28	b0.bi = 28	28 x (irr-D7-14) + 7 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-847-32-30	Δ = 847	bi.bi = 32	b0.bi = 30	22 x (irr-D7-14) + 7 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-854-36-32	Δ = 854	bi.bi = 36	b0.bi = 32	16 x (irr-D7-14) + 7 x (irr-D7-64) + 3 x (irr-D7-91)
vtx-D07-861-40-34	Δ = 861	bi.bi = 40	b0.bi = 34	10 x (irr-D7-14) + 7 x (irr-D7-64) + 4 x (irr-D7-91)
vtx-D07-868-44-36	Δ = 868	bi.bi = 44	b0.bi = 36	4 x (irr-D7-14) + 7 x (irr-D7-64) + 5 x (irr-D7-91)
vtx-D07-869-36-32	Δ = 869	bi.bi = 36	b0.bi = 32	20 x (irr-D7-14) + 9 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-873-56-38	Δ = 873	bi.bi = 56	b0.bi = 38	20 x (irr-D7-14) + 5 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-876-40-34	Δ = 876	bi.bi = 40	b0.bi = 34	14 x (irr-D7-14) + 9 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-880-60-40	Δ = 880	bi.bi = 60	b0.bi = 40	14 x (irr-D7-14) + 5 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-883-44-36	Δ = 883	bi.bi = 44	b0.bi = 36	8 x (irr-D7-14) + 9 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-887-64-42	Δ = 887	bi.bi = 64	b0.bi = 42	8 x (irr-D7-14) + 5 x (irr-D7-64) + 2 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-890-48-38	Δ = 890	bi.bi = 48	b0.bi = 38	2 x (irr-D7-14) + 9 x (irr-D7-64) + 3 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-894-68-44	Δ = 894	bi.bi = 68	b0.bi = 44	2 x (irr-D7-14) + 5 x (irr-D7-64) + 3 x (irr-D7-91) + 1 x (irr-D7-364)
vtx-D07-897-120-58	Δ = 897	bi.bi = 120	b0.bi = 58	2 x (irr-D7-14) + 2 x (irr-D7-64) + 1 x (irr-D7-832)
vtx-D07-905-48-38	Δ = 905	bi.bi = 48	b0.bi = 38	6 x (irr-D7-14) + 11 x (irr-D7-64) + 2 x (irr-D7-104)
vtx-D07-909-68-44	Δ = 909	bi.bi = 68	b0.bi = 44	6 x (irr-D7-14) + 7 x (irr-D7-64) + 1 x (irr-D7-104) + 1 x (irr-D7-364)
vtx-D07-912-52-40	Δ = 912	bi.bi = 52	b0.bi = 40	11 x (irr-D7-64) + 1 x (irr-D7-91) + 2 x (irr-D7-104)
vtx-D07-913-88-50	Δ = 913	bi.bi = 88	b0.bi = 50	6 x (irr-D7-14) + 3 x (irr-D7-64) + 2 x (irr-D7-364)
vtx-D07-916-72-46	Δ = 916	bi.bi = 72	b0.bi = 46	7 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104) + 1 x (irr-D7-364)
vtx-D07-920-92-52	Δ = 920	bi.bi = 92	b0.bi = 52	3 x (irr-D7-64) + 1 x (irr-D7-91) + 2 x (irr-D7-364)
vtx-D07-953-28-30	Δ = 953	bi.bi = 28	b0.bi = 30	38 x (irr-D7-14) + 8 x (irr-D7-64)
vtx-D07-960-32-32	Δ = 960	bi.bi = 32	b0.bi = 32	32 x (irr-D7-14) + 8 x (irr-D7-64) + 1 x (irr-D7-91)
vtx-D07-967-36-34	Δ = 967	bi.bi = 36	b0.bi = 34	26 x (irr-D7-14) + 8 x (irr-D7-64) + 2 x (irr-D7-91)
vtx-D07-974-40-36	Δ = 974	bi.bi = 40	b0.bi = 36	20 x (irr-D7-14) + 8 x (irr-D7-64) + 3 x (irr-D7-91)
vtx-D07-981-44-38	Δ = 981	bi.bi = 44	b0.bi = 38	14 x (irr-D7-14) + 8 x (irr-D7-64) + 4 x (irr-D7-91)
vtx-D07-988-48-40	Δ = 988	bi.bi = 48	b0.bi = 40	8 x (irr-D7-14) + 8 x (irr-D7-64) + 5 x (irr-D7-91)
vtx-D07-989-40-36	Δ = 989	bi.bi = 40	b0.bi = 36	24 x (irr-D7-14) + 10 x (irr-D7-64) + 1 x (irr-D7-104)
vtx-D07-993-60-42	Δ = 993	bi.bi = 60	b0.bi = 42	24 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-364)
vtx-D07-995-52-42	Δ = 995	bi.bi = 52	b0.bi = 42	2 x (irr-D7-14) + 8 x (irr-D7-64) + 6 x (irr-D7-91)
vtx-D07-996-44-38	Δ = 996	bi.bi = 44	b0.bi = 38	18 x (irr-D7-14) + 10 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-104)
vtx-D07-1000-64-44	Δ = 1000	bi.bi = 64	b0.bi = 44	18 x (irr-D7-14) + 6 x (irr-D7-64) + 1 x (irr-D7-91) + 1 x (irr-D7-364)
