vtx-D09-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-D9-153)
vtx-D09-27-n4-n2	Δ = 27	bi.bi = -4	b0.bi = -2	10 x (irr-D9-18)
vtx-D09-273-16-12	Δ = 273	bi.bi = 16	b0.bi = 12	1 x (irr-D9-170) + 1 x (irr-D9-256)
vtx-D09-517-20-18	Δ = 517	bi.bi = 20	b0.bi = 18	6 x (irr-D9-18) + 2 x (irr-D9-153) + 1 x (irr-D9-256)
vtx-D09-544-16-16	Δ = 544	bi.bi = 16	b0.bi = 16	16 x (irr-D9-18) + 1 x (irr-D9-153) + 1 x (irr-D9-256)
vtx-D09-571-12-14	Δ = 571	bi.bi = 12	b0.bi = 14	26 x (irr-D9-18) + 1 x (irr-D9-256)
vtx-D09-790-36-30	Δ = 790	bi.bi = 36	b0.bi = 30	6 x (irr-D9-18) + 1 x (irr-D9-153) + 1 x (irr-D9-170) + 2 x (irr-D9-256)
vtx-D09-817-32-28	Δ = 817	bi.bi = 32	b0.bi = 28	16 x (irr-D9-18) + 1 x (irr-D9-170) + 2 x (irr-D9-256)
