vtx-B08-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-B8-136)
vtx-B08-17-n4-n2	Δ = 17	bi.bi = -4	b0.bi = -2	9 x (irr-B8-17)
vtx-B08-272-16-12	Δ = 272	bi.bi = 16	b0.bi = 12	1 x (irr-B8-152) + 1 x (irr-B8-256)
vtx-B08-511-20-18	Δ = 511	bi.bi = 20	b0.bi = 18	7 x (irr-B8-17) + 2 x (irr-B8-136) + 1 x (irr-B8-256)
vtx-B08-528-16-16	Δ = 528	bi.bi = 16	b0.bi = 16	16 x (irr-B8-17) + 1 x (irr-B8-136) + 1 x (irr-B8-256)
vtx-B08-545-12-14	Δ = 545	bi.bi = 12	b0.bi = 14	25 x (irr-B8-17) + 1 x (irr-B8-256)
vtx-B08-783-36-30	Δ = 783	bi.bi = 36	b0.bi = 30	7 x (irr-B8-17) + 1 x (irr-B8-136) + 1 x (irr-B8-152) + 2 x (irr-B8-256)
vtx-B08-800-32-28	Δ = 800	bi.bi = 32	b0.bi = 28	16 x (irr-B8-17) + 1 x (irr-B8-152) + 2 x (irr-B8-256)
