vtx-B09-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-B9-171)
vtx-B09-38-n4-n2	Δ = 38	bi.bi = -4	b0.bi = -2	11 x (irr-B9-19)
vtx-B09-274-16-12	Δ = 274	bi.bi = 16	b0.bi = 12	1 x (irr-B9-189) + 1 x (irr-B9-512-h)
vtx-B09-522-20-18	Δ = 522	bi.bi = 20	b0.bi = 18	5 x (irr-B9-19) + 2 x (irr-B9-171) + 1 x (irr-B9-512-h)
vtx-B09-560-16-16	Δ = 560	bi.bi = 16	b0.bi = 16	16 x (irr-B9-19) + 1 x (irr-B9-171) + 1 x (irr-B9-512-h)
vtx-B09-598-12-14	Δ = 598	bi.bi = 12	b0.bi = 14	27 x (irr-B9-19) + 1 x (irr-B9-512-h)
vtx-B09-796-36-30	Δ = 796	bi.bi = 36	b0.bi = 30	5 x (irr-B9-19) + 1 x (irr-B9-171) + 1 x (irr-B9-189) + 2 x (irr-B9-512-h)
vtx-B09-834-32-28	Δ = 834	bi.bi = 32	b0.bi = 28	16 x (irr-B9-19) + 1 x (irr-B9-189) + 2 x (irr-B9-512-h)
