vtx-B06-n13-n4-n2	Δ = -13	bi.bi = -4	b0.bi = -2	5 x (irr-B6-13)
vtx-B06-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-B6-78)
vtx-B06-45-n2-0	Δ = 45	bi.bi = -2	b0.bi = 0	7 x (irr-B6-13) + 1 x (irr-B6-64-h)
vtx-B06-103-0-2	Δ = 103	bi.bi = 0	b0.bi = 2	9 x (irr-B6-13) + 2 x (irr-B6-64-h)
vtx-B06-58-2-2	Δ = 58	bi.bi = 2	b0.bi = 2	2 x (irr-B6-13) + 1 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-116-4-4	Δ = 116	bi.bi = 4	b0.bi = 4	4 x (irr-B6-13) + 2 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-161-2-4	Δ = 161	bi.bi = 2	b0.bi = 4	11 x (irr-B6-13) + 3 x (irr-B6-64-h)
vtx-B06-174-6-6	Δ = 174	bi.bi = 6	b0.bi = 6	6 x (irr-B6-13) + 3 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-187-10-8	Δ = 187	bi.bi = 10	b0.bi = 8	1 x (irr-B6-13) + 3 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-219-4-6	Δ = 219	bi.bi = 4	b0.bi = 6	13 x (irr-B6-13) + 4 x (irr-B6-64-h)
vtx-B06-232-8-8	Δ = 232	bi.bi = 8	b0.bi = 8	8 x (irr-B6-13) + 4 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	3 x (irr-B6-13) + 4 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-260-32-16	Δ = 260	bi.bi = 32	b0.bi = 16	4 x (irr-B6-13) + 1 x (irr-B6-286)
vtx-B06-268-16-12	Δ = 268	bi.bi = 16	b0.bi = 12	8 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-277-6-8	Δ = 277	bi.bi = 6	b0.bi = 8	15 x (irr-B6-13) + 5 x (irr-B6-64-h)
vtx-B06-290-10-10	Δ = 290	bi.bi = 10	b0.bi = 10	10 x (irr-B6-13) + 5 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-303-14-12	Δ = 303	bi.bi = 14	b0.bi = 12	5 x (irr-B6-13) + 5 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-316-18-14	Δ = 316	bi.bi = 18	b0.bi = 14	5 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-318-34-18	Δ = 318	bi.bi = 34	b0.bi = 18	6 x (irr-B6-13) + 1 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-326-18-14	Δ = 326	bi.bi = 18	b0.bi = 14	2 x (irr-B6-13) + 9 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-331-38-20	Δ = 331	bi.bi = 38	b0.bi = 20	1 x (irr-B6-13) + 1 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
vtx-B06-335-8-10	Δ = 335	bi.bi = 8	b0.bi = 10	17 x (irr-B6-13) + 6 x (irr-B6-64-h)
vtx-B06-348-12-12	Δ = 348	bi.bi = 12	b0.bi = 12	12 x (irr-B6-13) + 6 x (irr-B6-64-h) + 1 x (irr-B6-78)
vtx-B06-361-16-14	Δ = 361	bi.bi = 16	b0.bi = 14	7 x (irr-B6-13) + 6 x (irr-B6-64-h) + 2 x (irr-B6-78)
vtx-B06-374-20-16	Δ = 374	bi.bi = 20	b0.bi = 16	2 x (irr-B6-13) + 6 x (irr-B6-64-h) + 3 x (irr-B6-78)
vtx-B06-376-36-20	Δ = 376	bi.bi = 36	b0.bi = 20	8 x (irr-B6-13) + 2 x (irr-B6-64-h) + 1 x (irr-B6-286)
vtx-B06-383-56-26	Δ = 383	bi.bi = 56	b0.bi = 26	1 x (irr-B6-13) + 2 x (irr-B6-64-h) + 1 x (irr-B6-768-h)
vtx-B06-384-20-16	Δ = 384	bi.bi = 20	b0.bi = 16	4 x (irr-B6-13) + 10 x (irr-B6-64-h) + 1 x (irr-B6-90)
vtx-B06-389-40-22	Δ = 389	bi.bi = 40	b0.bi = 22	3 x (irr-B6-13) + 2 x (irr-B6-64-h) + 1 x (irr-B6-78) + 1 x (irr-B6-286)
