vtx-B05-n22-n4-n2	Δ = -22	bi.bi = -4	b0.bi = -2	3 x (irr-B5-11)
vtx-B05-265-13-11	Δ = 265	bi.bi = 13	b0.bi = 11	6 x (irr-B5-11) + 9 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-266-16-12	Δ = 266	bi.bi = 16	b0.bi = 12	16 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-270-10-10	Δ = 270	bi.bi = 10	b0.bi = 10	10 x (irr-B5-11) + 10 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-275-7-9	Δ = 275	bi.bi = 7	b0.bi = 9	14 x (irr-B5-11) + 11 x (irr-B5-32-h)
vtx-B05-275-36-18	Δ = 275	bi.bi = 36	b0.bi = 18	3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-280-33-17	Δ = 280	bi.bi = 33	b0.bi = 17	4 x (irr-B5-11) + 1 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-283-33-17	Δ = 283	bi.bi = 33	b0.bi = 17	1 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-285-30-16	Δ = 285	bi.bi = 30	b0.bi = 16	8 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-287-17-13	Δ = 287	bi.bi = 17	b0.bi = 13	3 x (irr-B5-11) + 9 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-288-30-16	Δ = 288	bi.bi = 30	b0.bi = 16	5 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-290-27-15	Δ = 290	bi.bi = 27	b0.bi = 15	12 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-292-14-12	Δ = 292	bi.bi = 14	b0.bi = 12	7 x (irr-B5-11) + 10 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-293-17-13	Δ = 293	bi.bi = 17	b0.bi = 13	1 x (irr-B5-11) + 17 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-297-11-11	Δ = 297	bi.bi = 11	b0.bi = 11	11 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-302-8-10	Δ = 302	bi.bi = 8	b0.bi = 10	15 x (irr-B5-11) + 12 x (irr-B5-32-h)
vtx-B05-302-37-19	Δ = 302	bi.bi = 37	b0.bi = 19	1 x (irr-B5-11) + 1 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-303-50-22	Δ = 303	bi.bi = 50	b0.bi = 22	3 x (irr-B5-11) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-307-34-18	Δ = 307	bi.bi = 34	b0.bi = 18	5 x (irr-B5-11) + 2 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
