vtx-B05-n22-n4-n2	Δ = -22	bi.bi = -4	b0.bi = -2	3 x (irr-B5-11)
vtx-B05-677-41-31	Δ = 677	bi.bi = 41	b0.bi = 31	6 x (irr-B5-11) + 21 x (irr-B5-32-h) + 6 x (irr-B5-55)
vtx-B05-677-109-49	Δ = 677	bi.bi = 109	b0.bi = 49	1 x (irr-B5-11) + 1 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-678-44-32	Δ = 678	bi.bi = 44	b0.bi = 32	28 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-678-54-34	Δ = 678	bi.bi = 54	b0.bi = 34	8 x (irr-B5-11) + 20 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-678-64-36	Δ = 678	bi.bi = 64	b0.bi = 36	20 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-679-57-35	Δ = 679	bi.bi = 57	b0.bi = 35	2 x (irr-B5-11) + 27 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h)
vtx-B05-679-67-37	Δ = 679	bi.bi = 67	b0.bi = 37	10 x (irr-B5-11) + 19 x (irr-B5-32-h) + 2 x (irr-B5-320-h)
vtx-B05-679-96-46	Δ = 679	bi.bi = 96	b0.bi = 46	4 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-679-121-51	Δ = 679	bi.bi = 121	b0.bi = 51	1 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-330)
vtx-B05-680-22-24	Δ = 680	bi.bi = 22	b0.bi = 24	29 x (irr-B5-11) + 26 x (irr-B5-32-h)
vtx-B05-680-51-33	Δ = 680	bi.bi = 51	b0.bi = 33	15 x (irr-B5-11) + 15 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-680-80-42	Δ = 680	bi.bi = 80	b0.bi = 42	1 x (irr-B5-11) + 4 x (irr-B5-32-h) + 6 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-680-86-40	Δ = 680	bi.bi = 86	b0.bi = 40	28 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-681-54-34	Δ = 681	bi.bi = 54	b0.bi = 34	9 x (irr-B5-11) + 22 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-681-64-36	Δ = 681	bi.bi = 64	b0.bi = 36	17 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-681-93-45	Δ = 681	bi.bi = 93	b0.bi = 45	3 x (irr-B5-11) + 3 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-682-38-30	Δ = 682	bi.bi = 38	b0.bi = 30	10 x (irr-B5-11) + 22 x (irr-B5-32-h) + 5 x (irr-B5-55)
vtx-B05-682-106-48	Δ = 682	bi.bi = 106	b0.bi = 48	5 x (irr-B5-11) + 2 x (irr-B5-32-h) + 2 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-683-41-31	Δ = 683	bi.bi = 41	b0.bi = 31	4 x (irr-B5-11) + 29 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-683-51-33	Δ = 683	bi.bi = 51	b0.bi = 33	12 x (irr-B5-11) + 21 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-683-61-35	Δ = 683	bi.bi = 61	b0.bi = 35	24 x (irr-B5-11) + 9 x (irr-B5-32-h) + 2 x (irr-B5-165)
vtx-B05-683-105-47	Δ = 683	bi.bi = 105	b0.bi = 47	3 x (irr-B5-11) + 5 x (irr-B5-32-h) + 3 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-684-54-34	Δ = 684	bi.bi = 54	b0.bi = 34	6 x (irr-B5-11) + 28 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h)
vtx-B05-684-93-45-a	Δ = 684	bi.bi = 93	b0.bi = 45	4 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-684-93-45-b	Δ = 684	bi.bi = 93	b0.bi = 45	9 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-684-118-50	Δ = 684	bi.bi = 118	b0.bi = 50	5 x (irr-B5-11) + 4 x (irr-B5-32-h) + 2 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-330)
vtx-B05-685-48-32	Δ = 685	bi.bi = 48	b0.bi = 32	19 x (irr-B5-11) + 16 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-685-77-41	Δ = 685	bi.bi = 77	b0.bi = 41	5 x (irr-B5-11) + 5 x (irr-B5-32-h) + 5 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-686-51-33	Δ = 686	bi.bi = 51	b0.bi = 33	13 x (irr-B5-11) + 23 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-686-90-44	Δ = 686	bi.bi = 90	b0.bi = 44	7 x (irr-B5-11) + 4 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-687-35-29	Δ = 687	bi.bi = 35	b0.bi = 29	14 x (irr-B5-11) + 23 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-687-64-38	Δ = 687	bi.bi = 64	b0.bi = 38	12 x (irr-B5-32-h) + 7 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-687-93-45	Δ = 687	bi.bi = 93	b0.bi = 45	1 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-688-38-30	Δ = 688	bi.bi = 38	b0.bi = 30	8 x (irr-B5-11) + 30 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-688-48-32	Δ = 688	bi.bi = 48	b0.bi = 32	16 x (irr-B5-11) + 22 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-688-77-41	Δ = 688	bi.bi = 77	b0.bi = 41	2 x (irr-B5-11) + 11 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-688-102-46	Δ = 688	bi.bi = 102	b0.bi = 46	7 x (irr-B5-11) + 6 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-689-41-31	Δ = 689	bi.bi = 41	b0.bi = 31	2 x (irr-B5-11) + 37 x (irr-B5-32-h) + 2 x (irr-B5-65)
vtx-B05-689-90-44-a	Δ = 689	bi.bi = 90	b0.bi = 44	4 x (irr-B5-11) + 10 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-689-90-44-b	Δ = 689	bi.bi = 90	b0.bi = 44	8 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-689-105-47	Δ = 689	bi.bi = 105	b0.bi = 47	1 x (irr-B5-11) + 13 x (irr-B5-32-h) + 3 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-690-45-31	Δ = 690	bi.bi = 45	b0.bi = 31	23 x (irr-B5-11) + 17 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-690-74-40	Δ = 690	bi.bi = 74	b0.bi = 40	9 x (irr-B5-11) + 6 x (irr-B5-32-h) + 4 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-691-77-41	Δ = 691	bi.bi = 77	b0.bi = 41	3 x (irr-B5-11) + 13 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-691-87-43	Δ = 691	bi.bi = 87	b0.bi = 43	11 x (irr-B5-11) + 5 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-692-32-28	Δ = 692	bi.bi = 32	b0.bi = 28	18 x (irr-B5-11) + 24 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-692-61-37	Δ = 692	bi.bi = 61	b0.bi = 37	4 x (irr-B5-11) + 13 x (irr-B5-32-h) + 6 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-692-90-44	Δ = 692	bi.bi = 90	b0.bi = 44	1 x (irr-B5-11) + 16 x (irr-B5-32-h) + 3 x (irr-B5-320-h)
vtx-B05-692-96-44	Δ = 692	bi.bi = 96	b0.bi = 44	17 x (irr-B5-11) + 3 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-693-35-29	Δ = 693	bi.bi = 35	b0.bi = 29	12 x (irr-B5-11) + 31 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-693-45-31	Δ = 693	bi.bi = 45	b0.bi = 31	20 x (irr-B5-11) + 23 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-693-74-40	Δ = 693	bi.bi = 74	b0.bi = 40	6 x (irr-B5-11) + 12 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-693-84-42	Δ = 693	bi.bi = 84	b0.bi = 42	18 x (irr-B5-11) + 1 x (irr-B5-55) + 3 x (irr-B5-165)
vtx-B05-693-99-45	Δ = 693	bi.bi = 99	b0.bi = 45	11 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-694-77-41	Δ = 694	bi.bi = 77	b0.bi = 41	19 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-694-87-43	Δ = 694	bi.bi = 87	b0.bi = 43	8 x (irr-B5-11) + 11 x (irr-B5-32-h) + 2 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-695-42-30	Δ = 695	bi.bi = 42	b0.bi = 30	27 x (irr-B5-11) + 18 x (irr-B5-32-h) + 1 x (irr-B5-165)
vtx-B05-695-61-37	Δ = 695	bi.bi = 61	b0.bi = 37	1 x (irr-B5-11) + 19 x (irr-B5-32-h) + 5 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-695-71-39	Δ = 695	bi.bi = 71	b0.bi = 39	13 x (irr-B5-11) + 7 x (irr-B5-32-h) + 3 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-696-74-40-a	Δ = 696	bi.bi = 74	b0.bi = 40	3 x (irr-B5-11) + 18 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-320-h)
vtx-B05-696-74-40-b	Δ = 696	bi.bi = 74	b0.bi = 40	7 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-696-84-42	Δ = 696	bi.bi = 84	b0.bi = 42	15 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-697-29-27	Δ = 697	bi.bi = 29	b0.bi = 27	22 x (irr-B5-11) + 25 x (irr-B5-32-h) + 2 x (irr-B5-55)
vtx-B05-697-58-36	Δ = 697	bi.bi = 58	b0.bi = 36	8 x (irr-B5-11) + 14 x (irr-B5-32-h) + 5 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-697-93-43	Δ = 697	bi.bi = 93	b0.bi = 43	21 x (irr-B5-11) + 1 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-698-32-28	Δ = 698	bi.bi = 32	b0.bi = 28	16 x (irr-B5-11) + 32 x (irr-B5-32-h) + 1 x (irr-B5-65)
vtx-B05-698-61-37	Δ = 698	bi.bi = 61	b0.bi = 37	2 x (irr-B5-11) + 21 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-698-71-39	Δ = 698	bi.bi = 71	b0.bi = 39	10 x (irr-B5-11) + 13 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-698-81-41	Δ = 698	bi.bi = 81	b0.bi = 41	22 x (irr-B5-11) + 1 x (irr-B5-32-h) + 3 x (irr-B5-165)
vtx-B05-698-96-44	Δ = 698	bi.bi = 96	b0.bi = 44	15 x (irr-B5-11) + 8 x (irr-B5-32-h) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-699-45-33	Δ = 699	bi.bi = 45	b0.bi = 33	3 x (irr-B5-11) + 21 x (irr-B5-32-h) + 7 x (irr-B5-55)
vtx-B05-699-74-40	Δ = 699	bi.bi = 74	b0.bi = 40	4 x (irr-B5-11) + 20 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-700-58-36	Δ = 700	bi.bi = 58	b0.bi = 36	5 x (irr-B5-11) + 20 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-700-68-38	Δ = 700	bi.bi = 68	b0.bi = 38	17 x (irr-B5-11) + 8 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-701-71-39-a	Δ = 701	bi.bi = 71	b0.bi = 39	7 x (irr-B5-11) + 19 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-320-h)
vtx-B05-701-71-39-b	Δ = 701	bi.bi = 71	b0.bi = 39	11 x (irr-B5-11) + 15 x (irr-B5-32-h) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-702-26-26	Δ = 702	bi.bi = 26	b0.bi = 26	26 x (irr-B5-11) + 26 x (irr-B5-32-h) + 1 x (irr-B5-55)
vtx-B05-702-55-35	Δ = 702	bi.bi = 55	b0.bi = 35	12 x (irr-B5-11) + 15 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-702-90-42	Δ = 702	bi.bi = 90	b0.bi = 42	25 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-703-58-36	Δ = 703	bi.bi = 58	b0.bi = 36	6 x (irr-B5-11) + 22 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-703-68-38	Δ = 703	bi.bi = 68	b0.bi = 38	14 x (irr-B5-11) + 14 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-703-97-47	Δ = 703	bi.bi = 97	b0.bi = 47	3 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-704-42-32	Δ = 704	bi.bi = 42	b0.bi = 32	7 x (irr-B5-11) + 22 x (irr-B5-32-h) + 6 x (irr-B5-55)
vtx-B05-704-61-37	Δ = 704	bi.bi = 61	b0.bi = 37	29 x (irr-B5-32-h) + 2 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-704-110-50	Δ = 704	bi.bi = 110	b0.bi = 50	2 x (irr-B5-11) + 2 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-705-45-33	Δ = 705	bi.bi = 45	b0.bi = 33	1 x (irr-B5-11) + 29 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-705-55-35	Δ = 705	bi.bi = 55	b0.bi = 35	9 x (irr-B5-11) + 21 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-705-65-37	Δ = 705	bi.bi = 65	b0.bi = 37	21 x (irr-B5-11) + 9 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-705-109-49	Δ = 705	bi.bi = 109	b0.bi = 49	5 x (irr-B5-32-h) + 4 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-706-58-36	Δ = 706	bi.bi = 58	b0.bi = 36	3 x (irr-B5-11) + 28 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h)
vtx-B05-706-68-38	Δ = 706	bi.bi = 68	b0.bi = 38	11 x (irr-B5-11) + 20 x (irr-B5-32-h) + 2 x (irr-B5-320-h)
vtx-B05-706-97-47	Δ = 706	bi.bi = 97	b0.bi = 47	1 x (irr-B5-11) + 5 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-706-122-52	Δ = 706	bi.bi = 122	b0.bi = 52	2 x (irr-B5-11) + 4 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-330)
vtx-B05-707-23-25	Δ = 707	bi.bi = 23	b0.bi = 25	30 x (irr-B5-11) + 27 x (irr-B5-32-h)
vtx-B05-707-52-34	Δ = 707	bi.bi = 52	b0.bi = 34	16 x (irr-B5-11) + 16 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-707-81-43	Δ = 707	bi.bi = 81	b0.bi = 43	2 x (irr-B5-11) + 5 x (irr-B5-32-h) + 6 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-707-87-41	Δ = 707	bi.bi = 87	b0.bi = 41	29 x (irr-B5-11) + 3 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-708-55-35	Δ = 708	bi.bi = 55	b0.bi = 35	10 x (irr-B5-11) + 23 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-708-65-37	Δ = 708	bi.bi = 65	b0.bi = 37	18 x (irr-B5-11) + 15 x (irr-B5-32-h) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-708-94-46	Δ = 708	bi.bi = 94	b0.bi = 46	4 x (irr-B5-11) + 4 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-709-39-31	Δ = 709	bi.bi = 39	b0.bi = 31	11 x (irr-B5-11) + 23 x (irr-B5-32-h) + 5 x (irr-B5-55)
vtx-B05-709-107-49	Δ = 709	bi.bi = 107	b0.bi = 49	6 x (irr-B5-11) + 3 x (irr-B5-32-h) + 2 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-710-42-32	Δ = 710	bi.bi = 42	b0.bi = 32	5 x (irr-B5-11) + 30 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-710-52-34	Δ = 710	bi.bi = 52	b0.bi = 34	13 x (irr-B5-11) + 22 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-710-62-36	Δ = 710	bi.bi = 62	b0.bi = 36	25 x (irr-B5-11) + 10 x (irr-B5-32-h) + 2 x (irr-B5-165)
vtx-B05-710-106-48	Δ = 710	bi.bi = 106	b0.bi = 48	4 x (irr-B5-11) + 6 x (irr-B5-32-h) + 3 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-711-55-35	Δ = 711	bi.bi = 55	b0.bi = 35	7 x (irr-B5-11) + 29 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h)
vtx-B05-711-94-46-a	Δ = 711	bi.bi = 94	b0.bi = 46	5 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-711-94-46-b	Δ = 711	bi.bi = 94	b0.bi = 46	1 x (irr-B5-11) + 10 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-711-119-51	Δ = 711	bi.bi = 119	b0.bi = 51	6 x (irr-B5-11) + 5 x (irr-B5-32-h) + 2 x (irr-B5-65) + 1 x (irr-B5-320-h) + 1 x (irr-B5-330)
vtx-B05-712-49-33	Δ = 712	bi.bi = 49	b0.bi = 33	20 x (irr-B5-11) + 17 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-712-78-42	Δ = 712	bi.bi = 78	b0.bi = 42	6 x (irr-B5-11) + 6 x (irr-B5-32-h) + 5 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-713-52-34	Δ = 713	bi.bi = 52	b0.bi = 34	14 x (irr-B5-11) + 24 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-165)
vtx-B05-713-81-43	Δ = 713	bi.bi = 81	b0.bi = 43	13 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-713-91-45	Δ = 713	bi.bi = 91	b0.bi = 45	8 x (irr-B5-11) + 5 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-713-116-50	Δ = 713	bi.bi = 116	b0.bi = 50	13 x (irr-B5-11) + 2 x (irr-B5-65) + 1 x (irr-B5-165) + 1 x (irr-B5-330)
vtx-B05-714-36-30	Δ = 714	bi.bi = 36	b0.bi = 30	15 x (irr-B5-11) + 24 x (irr-B5-32-h) + 4 x (irr-B5-55)
vtx-B05-714-65-39	Δ = 714	bi.bi = 65	b0.bi = 39	1 x (irr-B5-11) + 13 x (irr-B5-32-h) + 7 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-714-94-46	Δ = 714	bi.bi = 94	b0.bi = 46	2 x (irr-B5-11) + 12 x (irr-B5-32-h) + 1 x (irr-B5-65) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-714-100-46	Δ = 714	bi.bi = 100	b0.bi = 46	14 x (irr-B5-11) + 4 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-715-39-31	Δ = 715	bi.bi = 39	b0.bi = 31	9 x (irr-B5-11) + 31 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-715-49-33	Δ = 715	bi.bi = 49	b0.bi = 33	17 x (irr-B5-11) + 23 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h)
vtx-B05-715-78-42	Δ = 715	bi.bi = 78	b0.bi = 42	3 x (irr-B5-11) + 12 x (irr-B5-32-h) + 4 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-715-88-44	Δ = 715	bi.bi = 88	b0.bi = 44	15 x (irr-B5-11) + 2 x (irr-B5-55) + 3 x (irr-B5-165)
vtx-B05-715-103-47	Δ = 715	bi.bi = 103	b0.bi = 47	8 x (irr-B5-11) + 7 x (irr-B5-32-h) + 2 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-716-42-32	Δ = 716	bi.bi = 42	b0.bi = 32	3 x (irr-B5-11) + 38 x (irr-B5-32-h) + 2 x (irr-B5-65)
vtx-B05-716-91-45-a	Δ = 716	bi.bi = 91	b0.bi = 45	9 x (irr-B5-11) + 7 x (irr-B5-32-h) + 1 x (irr-B5-65) + 3 x (irr-B5-165)
vtx-B05-716-91-45-b	Δ = 716	bi.bi = 91	b0.bi = 45	5 x (irr-B5-11) + 11 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-716-106-48	Δ = 716	bi.bi = 106	b0.bi = 48	2 x (irr-B5-11) + 14 x (irr-B5-32-h) + 3 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-717-46-32	Δ = 717	bi.bi = 46	b0.bi = 32	24 x (irr-B5-11) + 18 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-717-75-41	Δ = 717	bi.bi = 75	b0.bi = 41	10 x (irr-B5-11) + 7 x (irr-B5-32-h) + 4 x (irr-B5-55) + 2 x (irr-B5-165)
vtx-B05-718-78-42-a	Δ = 718	bi.bi = 78	b0.bi = 42	4 x (irr-B5-11) + 14 x (irr-B5-32-h) + 2 x (irr-B5-55) + 1 x (irr-B5-65) + 2 x (irr-B5-165)
vtx-B05-718-78-42-b	Δ = 718	bi.bi = 78	b0.bi = 42	18 x (irr-B5-32-h) + 3 x (irr-B5-55) + 2 x (irr-B5-320-h)
vtx-B05-718-88-44	Δ = 718	bi.bi = 88	b0.bi = 44	12 x (irr-B5-11) + 6 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-320-h) + 2 x (irr-B5-165)
vtx-B05-719-33-29	Δ = 719	bi.bi = 33	b0.bi = 29	19 x (irr-B5-11) + 25 x (irr-B5-32-h) + 3 x (irr-B5-55)
vtx-B05-719-62-38	Δ = 719	bi.bi = 62	b0.bi = 38	5 x (irr-B5-11) + 14 x (irr-B5-32-h) + 6 x (irr-B5-55) + 1 x (irr-B5-165)
vtx-B05-719-91-45	Δ = 719	bi.bi = 91	b0.bi = 45	2 x (irr-B5-11) + 17 x (irr-B5-32-h) + 3 x (irr-B5-320-h)
vtx-B05-719-97-45	Δ = 719	bi.bi = 97	b0.bi = 45	18 x (irr-B5-11) + 1 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-65) + 1 x (irr-B5-330)
vtx-B05-720-36-30	Δ = 720	bi.bi = 36	b0.bi = 30	13 x (irr-B5-11) + 32 x (irr-B5-32-h) + 1 x (irr-B5-55) + 1 x (irr-B5-65)
vtx-B05-720-46-32	Δ = 720	bi.bi = 46	b0.bi = 32	21 x (irr-B5-11) + 24 x (irr-B5-32-h) + 1 x (irr-B5-320-h)
vtx-B05-720-75-41	Δ = 720	bi.bi = 75	b0.bi = 41	7 x (irr-B5-11) + 13 x (irr-B5-32-h) + 3 x (irr-B5-55) + 1 x (irr-B5-320-h) + 1 x (irr-B5-165)
vtx-B05-720-85-43	Δ = 720	bi.bi = 85	b0.bi = 43	19 x (irr-B5-11) + 1 x (irr-B5-32-h) + 1 x (irr-B5-55) + 3 x (irr-B5-165)
vtx-B05-720-100-46	Δ = 720	bi.bi = 100	b0.bi = 46	12 x (irr-B5-11) + 8 x (irr-B5-32-h) + 1 x (irr-B5-55) + 2 x (irr-B5-65) + 1 x (irr-B5-330)
