vtx-B03-n5-n3-n1	Δ = -5	bi.bi = -3	b0.bi = -1	2 x (irr-B3-8)
vtx-B03-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-B3-21)
vtx-B03-18-n2-0	Δ = 18	bi.bi = -2	b0.bi = 0	1 x (irr-B3-7) + 4 x (irr-B3-8)
vtx-B03-41-n1-1	Δ = 41	bi.bi = -1	b0.bi = 1	2 x (irr-B3-7) + 6 x (irr-B3-8)
vtx-B03-64-0-2	Δ = 64	bi.bi = 0	b0.bi = 2	3 x (irr-B3-7) + 8 x (irr-B3-8)
vtx-B03-23-1-1	Δ = 23	bi.bi = 1	b0.bi = 1	1 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-28-4-2	Δ = 28	bi.bi = 4	b0.bi = 2	1 x (irr-B3-7) + 2 x (irr-B3-21)
vtx-B03-46-2-2	Δ = 46	bi.bi = 2	b0.bi = 2	2 x (irr-B3-7) + 4 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-51-5-3	Δ = 51	bi.bi = 5	b0.bi = 3	2 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-56-8-4	Δ = 56	bi.bi = 8	b0.bi = 4	2 x (irr-B3-7) + 3 x (irr-B3-21)
vtx-B03-63-8-4	Δ = 63	bi.bi = 8	b0.bi = 4	7 x (irr-B3-7) + 1 x (irr-B3-35)
vtx-B03-69-3-3	Δ = 69	bi.bi = 3	b0.bi = 3	3 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-74-6-4	Δ = 74	bi.bi = 6	b0.bi = 4	3 x (irr-B3-7) + 4 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-76-19-7	Δ = 76	bi.bi = 19	b0.bi = 7	2 x (irr-B3-7) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-76-24-8	Δ = 76	bi.bi = 24	b0.bi = 8	1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-79-9-5	Δ = 79	bi.bi = 9	b0.bi = 5	3 x (irr-B3-7) + 2 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-84-12-6	Δ = 84	bi.bi = 12	b0.bi = 6	3 x (irr-B3-7) + 4 x (irr-B3-21)
vtx-B03-86-9-5	Δ = 86	bi.bi = 9	b0.bi = 5	8 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-35)
vtx-B03-87-1-3	Δ = 87	bi.bi = 1	b0.bi = 3	4 x (irr-B3-7) + 10 x (irr-B3-8)
vtx-B03-91-12-6	Δ = 91	bi.bi = 12	b0.bi = 6	8 x (irr-B3-7) + 1 x (irr-B3-21) + 1 x (irr-B3-35)
vtx-B03-92-4-4	Δ = 92	bi.bi = 4	b0.bi = 4	4 x (irr-B3-7) + 8 x (irr-B3-8) + 1 x (irr-B3-21)
vtx-B03-97-7-5	Δ = 97	bi.bi = 7	b0.bi = 5	4 x (irr-B3-7) + 6 x (irr-B3-8) + 2 x (irr-B3-21)
vtx-B03-99-20-8	Δ = 99	bi.bi = 20	b0.bi = 8	3 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-99-25-9	Δ = 99	bi.bi = 25	b0.bi = 9	1 x (irr-B3-7) + 2 x (irr-B3-8) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-102-10-6	Δ = 102	bi.bi = 10	b0.bi = 6	4 x (irr-B3-7) + 4 x (irr-B3-8) + 3 x (irr-B3-21)
vtx-B03-104-23-9	Δ = 104	bi.bi = 23	b0.bi = 9	3 x (irr-B3-7) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-104-28-10	Δ = 104	bi.bi = 28	b0.bi = 10	1 x (irr-B3-7) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
