vtx-E08-n248-n12-n10	Δ = -248	bi.bi = -12	b0.bi = -10	
vtx-E08-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-E8-248)
vtx-E08-248-12-10	Δ = 248	bi.bi = 12	b0.bi = 10	2 x (irr-E8-248)
vtx-E08-496-24-20	Δ = 496	bi.bi = 24	b0.bi = 20	3 x (irr-E8-248)
vtx-E08-744-36-30	Δ = 744	bi.bi = 36	b0.bi = 30	4 x (irr-E8-248)
vtx-E08-992-48-40	Δ = 992	bi.bi = 48	b0.bi = 40	5 x (irr-E8-248)
