vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	
vtx-E07-861-47-37	Δ = 861	bi.bi = 47	b0.bi = 37	7 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-862-83-47	Δ = 862	bi.bi = 83	b0.bi = 47	5 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-863-119-57	Δ = 863	bi.bi = 119	b0.bi = 57	3 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-868-31-31	Δ = 868	bi.bi = 31	b0.bi = 31	31 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-868-44-36	Δ = 868	bi.bi = 44	b0.bi = 36	12 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-869-80-46	Δ = 869	bi.bi = 80	b0.bi = 46	10 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-875-28-30	Δ = 875	bi.bi = 28	b0.bi = 30	36 x (irr-E7-56-h)
vtx-E07-875-41-35	Δ = 875	bi.bi = 41	b0.bi = 35	17 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-876-77-45	Δ = 876	bi.bi = 77	b0.bi = 45	15 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-882-38-34	Δ = 882	bi.bi = 38	b0.bi = 34	22 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-882-51-39	Δ = 882	bi.bi = 51	b0.bi = 39	3 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-883-74-44	Δ = 883	bi.bi = 74	b0.bi = 44	20 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-883-87-49	Δ = 883	bi.bi = 87	b0.bi = 49	1 x (irr-E7-56-h) + 4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-889-35-33	Δ = 889	bi.bi = 35	b0.bi = 33	27 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-889-48-38	Δ = 889	bi.bi = 48	b0.bi = 38	8 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-890-84-48	Δ = 890	bi.bi = 84	b0.bi = 48	6 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-891-120-58	Δ = 891	bi.bi = 120	b0.bi = 58	4 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-896-32-32	Δ = 896	bi.bi = 32	b0.bi = 32	32 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-896-45-37	Δ = 896	bi.bi = 45	b0.bi = 37	13 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-897-81-47	Δ = 897	bi.bi = 81	b0.bi = 47	11 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-903-29-31	Δ = 903	bi.bi = 29	b0.bi = 31	37 x (irr-E7-56-h)
vtx-E07-903-42-36	Δ = 903	bi.bi = 42	b0.bi = 36	18 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-904-78-46	Δ = 904	bi.bi = 78	b0.bi = 46	16 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-910-39-35	Δ = 910	bi.bi = 39	b0.bi = 35	23 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-910-52-40	Δ = 910	bi.bi = 52	b0.bi = 40	4 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-911-75-45	Δ = 911	bi.bi = 75	b0.bi = 45	21 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-911-88-50	Δ = 911	bi.bi = 88	b0.bi = 50	2 x (irr-E7-56-h) + 4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-912-124-60	Δ = 912	bi.bi = 124	b0.bi = 60	1 x (irr-E7-133) + 2 x (irr-E7-912-h)
vtx-E07-917-36-34	Δ = 917	bi.bi = 36	b0.bi = 34	28 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-917-49-39	Δ = 917	bi.bi = 49	b0.bi = 39	9 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-918-85-49	Δ = 918	bi.bi = 85	b0.bi = 49	7 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-919-121-59	Δ = 919	bi.bi = 121	b0.bi = 59	5 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-924-33-33	Δ = 924	bi.bi = 33	b0.bi = 33	33 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-924-46-38	Δ = 924	bi.bi = 46	b0.bi = 38	14 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-925-82-48	Δ = 925	bi.bi = 82	b0.bi = 48	12 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-931-30-32	Δ = 931	bi.bi = 30	b0.bi = 32	38 x (irr-E7-56-h)
vtx-E07-931-43-37	Δ = 931	bi.bi = 43	b0.bi = 37	19 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-931-56-42	Δ = 931	bi.bi = 56	b0.bi = 42	8 x (irr-E7-133)
vtx-E07-932-79-47	Δ = 932	bi.bi = 79	b0.bi = 47	17 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-938-40-36	Δ = 938	bi.bi = 40	b0.bi = 36	24 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-938-53-41	Δ = 938	bi.bi = 53	b0.bi = 41	5 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-939-76-46	Δ = 939	bi.bi = 76	b0.bi = 46	22 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-939-89-51	Δ = 939	bi.bi = 89	b0.bi = 51	3 x (irr-E7-56-h) + 4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-940-125-61	Δ = 940	bi.bi = 125	b0.bi = 61	1 x (irr-E7-56-h) + 1 x (irr-E7-133) + 2 x (irr-E7-912-h)
vtx-E07-945-37-35	Δ = 945	bi.bi = 37	b0.bi = 35	29 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-945-50-40	Δ = 945	bi.bi = 50	b0.bi = 40	10 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-946-86-50	Δ = 946	bi.bi = 86	b0.bi = 50	8 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-947-122-60	Δ = 947	bi.bi = 122	b0.bi = 60	6 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-952-34-34	Δ = 952	bi.bi = 34	b0.bi = 34	34 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-952-47-39	Δ = 952	bi.bi = 47	b0.bi = 39	15 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-953-83-49	Δ = 953	bi.bi = 83	b0.bi = 49	13 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-959-31-33	Δ = 959	bi.bi = 31	b0.bi = 33	39 x (irr-E7-56-h)
vtx-E07-959-44-38	Δ = 959	bi.bi = 44	b0.bi = 38	20 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-959-57-43	Δ = 959	bi.bi = 57	b0.bi = 43	1 x (irr-E7-56-h) + 8 x (irr-E7-133)
vtx-E07-960-80-48	Δ = 960	bi.bi = 80	b0.bi = 48	18 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-966-41-37	Δ = 966	bi.bi = 41	b0.bi = 37	25 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-966-54-42	Δ = 966	bi.bi = 54	b0.bi = 42	6 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-967-77-47	Δ = 967	bi.bi = 77	b0.bi = 47	23 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-967-90-52	Δ = 967	bi.bi = 90	b0.bi = 52	4 x (irr-E7-56-h) + 4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-968-126-62	Δ = 968	bi.bi = 126	b0.bi = 62	2 x (irr-E7-56-h) + 1 x (irr-E7-133) + 2 x (irr-E7-912-h)
vtx-E07-973-38-36	Δ = 973	bi.bi = 38	b0.bi = 36	30 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-973-51-41	Δ = 973	bi.bi = 51	b0.bi = 41	11 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-974-87-51	Δ = 974	bi.bi = 87	b0.bi = 51	9 x (irr-E7-56-h) + 3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-975-123-61	Δ = 975	bi.bi = 123	b0.bi = 61	7 x (irr-E7-56-h) + 2 x (irr-E7-912-h)
vtx-E07-980-35-35	Δ = 980	bi.bi = 35	b0.bi = 35	35 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-980-48-40	Δ = 980	bi.bi = 48	b0.bi = 40	16 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-981-84-50	Δ = 981	bi.bi = 84	b0.bi = 50	14 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-987-32-34	Δ = 987	bi.bi = 32	b0.bi = 34	40 x (irr-E7-56-h)
vtx-E07-987-45-39	Δ = 987	bi.bi = 45	b0.bi = 39	21 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-987-58-44	Δ = 987	bi.bi = 58	b0.bi = 44	2 x (irr-E7-56-h) + 8 x (irr-E7-133)
vtx-E07-988-81-49	Δ = 988	bi.bi = 81	b0.bi = 49	19 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-988-94-54	Δ = 988	bi.bi = 94	b0.bi = 54	5 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-994-42-38	Δ = 994	bi.bi = 42	b0.bi = 38	26 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-994-55-43	Δ = 994	bi.bi = 55	b0.bi = 43	7 x (irr-E7-56-h) + 7 x (irr-E7-133)
vtx-E07-995-78-48	Δ = 995	bi.bi = 78	b0.bi = 48	24 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-995-91-53	Δ = 995	bi.bi = 91	b0.bi = 53	5 x (irr-E7-56-h) + 4 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-996-127-63	Δ = 996	bi.bi = 127	b0.bi = 63	3 x (irr-E7-56-h) + 1 x (irr-E7-133) + 2 x (irr-E7-912-h)
