vtx-E07-n133-n8-n6	Δ = -133	bi.bi = -8	b0.bi = -6	
vtx-E07-399-11-13	Δ = 399	bi.bi = 11	b0.bi = 13	19 x (irr-E7-56-h)
vtx-E07-399-24-18	Δ = 399	bi.bi = 24	b0.bi = 18	4 x (irr-E7-133)
vtx-E07-406-21-17	Δ = 406	bi.bi = 21	b0.bi = 17	5 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-407-57-27	Δ = 407	bi.bi = 57	b0.bi = 27	3 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-413-18-16	Δ = 413	bi.bi = 18	b0.bi = 16	10 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-420-15-15	Δ = 420	bi.bi = 15	b0.bi = 15	15 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-427-12-14	Δ = 427	bi.bi = 12	b0.bi = 14	20 x (irr-E7-56-h)
vtx-E07-427-25-19	Δ = 427	bi.bi = 25	b0.bi = 19	1 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-434-22-18	Δ = 434	bi.bi = 22	b0.bi = 18	6 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-435-58-28	Δ = 435	bi.bi = 58	b0.bi = 28	4 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-441-19-17	Δ = 441	bi.bi = 19	b0.bi = 17	11 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-448-16-16	Δ = 448	bi.bi = 16	b0.bi = 16	16 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-455-13-15	Δ = 455	bi.bi = 13	b0.bi = 15	21 x (irr-E7-56-h)
vtx-E07-455-26-20	Δ = 455	bi.bi = 26	b0.bi = 20	2 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-456-62-30	Δ = 456	bi.bi = 62	b0.bi = 30	1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-462-23-19	Δ = 462	bi.bi = 23	b0.bi = 19	7 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-463-59-29	Δ = 463	bi.bi = 59	b0.bi = 29	5 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-469-20-18	Δ = 469	bi.bi = 20	b0.bi = 18	12 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-476-17-17	Δ = 476	bi.bi = 17	b0.bi = 17	17 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-483-14-16	Δ = 483	bi.bi = 14	b0.bi = 16	22 x (irr-E7-56-h)
vtx-E07-483-27-21	Δ = 483	bi.bi = 27	b0.bi = 21	3 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-484-63-31	Δ = 484	bi.bi = 63	b0.bi = 31	1 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-490-24-20	Δ = 490	bi.bi = 24	b0.bi = 20	8 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-491-60-30	Δ = 491	bi.bi = 60	b0.bi = 30	6 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-497-21-19	Δ = 497	bi.bi = 21	b0.bi = 19	13 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-504-18-18	Δ = 504	bi.bi = 18	b0.bi = 18	18 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-511-15-17	Δ = 511	bi.bi = 15	b0.bi = 17	23 x (irr-E7-56-h)
vtx-E07-511-28-22	Δ = 511	bi.bi = 28	b0.bi = 22	4 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-512-64-32	Δ = 512	bi.bi = 64	b0.bi = 32	2 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-518-25-21	Δ = 518	bi.bi = 25	b0.bi = 21	9 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-519-61-31	Δ = 519	bi.bi = 61	b0.bi = 31	7 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-525-22-20	Δ = 525	bi.bi = 22	b0.bi = 20	14 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-532-19-19	Δ = 532	bi.bi = 19	b0.bi = 19	19 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-532-32-24	Δ = 532	bi.bi = 32	b0.bi = 24	5 x (irr-E7-133)
vtx-E07-539-16-18	Δ = 539	bi.bi = 16	b0.bi = 18	24 x (irr-E7-56-h)
vtx-E07-539-29-23	Δ = 539	bi.bi = 29	b0.bi = 23	5 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-540-65-33	Δ = 540	bi.bi = 65	b0.bi = 33	3 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-546-26-22	Δ = 546	bi.bi = 26	b0.bi = 22	10 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-547-62-32	Δ = 547	bi.bi = 62	b0.bi = 32	8 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-553-23-21	Δ = 553	bi.bi = 23	b0.bi = 21	15 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-560-20-20	Δ = 560	bi.bi = 20	b0.bi = 20	20 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-560-33-25	Δ = 560	bi.bi = 33	b0.bi = 25	1 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-567-17-19	Δ = 567	bi.bi = 17	b0.bi = 19	25 x (irr-E7-56-h)
vtx-E07-567-30-24	Δ = 567	bi.bi = 30	b0.bi = 24	6 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-568-66-34	Δ = 568	bi.bi = 66	b0.bi = 34	4 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-574-27-23	Δ = 574	bi.bi = 27	b0.bi = 23	11 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-575-63-33	Δ = 575	bi.bi = 63	b0.bi = 33	9 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-581-24-22	Δ = 581	bi.bi = 24	b0.bi = 22	16 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-588-21-21	Δ = 588	bi.bi = 21	b0.bi = 21	21 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-588-34-26	Δ = 588	bi.bi = 34	b0.bi = 26	2 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-589-70-36	Δ = 589	bi.bi = 70	b0.bi = 36	2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-595-18-20	Δ = 595	bi.bi = 18	b0.bi = 20	26 x (irr-E7-56-h)
vtx-E07-595-31-25	Δ = 595	bi.bi = 31	b0.bi = 25	7 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-596-67-35	Δ = 596	bi.bi = 67	b0.bi = 35	5 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-602-28-24	Δ = 602	bi.bi = 28	b0.bi = 24	12 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-603-64-34	Δ = 603	bi.bi = 64	b0.bi = 34	10 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-609-25-23	Δ = 609	bi.bi = 25	b0.bi = 23	17 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-616-22-22	Δ = 616	bi.bi = 22	b0.bi = 22	22 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-616-35-27	Δ = 616	bi.bi = 35	b0.bi = 27	3 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-617-71-37	Δ = 617	bi.bi = 71	b0.bi = 37	1 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-623-19-21	Δ = 623	bi.bi = 19	b0.bi = 21	27 x (irr-E7-56-h)
vtx-E07-623-32-26	Δ = 623	bi.bi = 32	b0.bi = 26	8 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-624-68-36	Δ = 624	bi.bi = 68	b0.bi = 36	6 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-630-29-25	Δ = 630	bi.bi = 29	b0.bi = 25	13 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-631-65-35	Δ = 631	bi.bi = 65	b0.bi = 35	11 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-637-26-24	Δ = 637	bi.bi = 26	b0.bi = 24	18 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-644-23-23	Δ = 644	bi.bi = 23	b0.bi = 23	23 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-644-36-28	Δ = 644	bi.bi = 36	b0.bi = 28	4 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-645-72-38	Δ = 645	bi.bi = 72	b0.bi = 38	2 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-651-20-22	Δ = 651	bi.bi = 20	b0.bi = 22	28 x (irr-E7-56-h)
vtx-E07-651-33-27	Δ = 651	bi.bi = 33	b0.bi = 27	9 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-652-69-37	Δ = 652	bi.bi = 69	b0.bi = 37	7 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-658-30-26	Δ = 658	bi.bi = 30	b0.bi = 26	14 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-659-66-36	Δ = 659	bi.bi = 66	b0.bi = 36	12 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-665-27-25	Δ = 665	bi.bi = 27	b0.bi = 25	19 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-665-40-30	Δ = 665	bi.bi = 40	b0.bi = 30	6 x (irr-E7-133)
vtx-E07-672-24-24	Δ = 672	bi.bi = 24	b0.bi = 24	24 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-672-37-29	Δ = 672	bi.bi = 37	b0.bi = 29	5 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-673-73-39	Δ = 673	bi.bi = 73	b0.bi = 39	3 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-679-21-23	Δ = 679	bi.bi = 21	b0.bi = 23	29 x (irr-E7-56-h)
vtx-E07-679-34-28	Δ = 679	bi.bi = 34	b0.bi = 28	10 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-680-70-38	Δ = 680	bi.bi = 70	b0.bi = 38	8 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-686-31-27	Δ = 686	bi.bi = 31	b0.bi = 27	15 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-687-67-37	Δ = 687	bi.bi = 67	b0.bi = 37	13 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-693-28-26	Δ = 693	bi.bi = 28	b0.bi = 26	20 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-693-41-31	Δ = 693	bi.bi = 41	b0.bi = 31	1 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-700-25-25	Δ = 700	bi.bi = 25	b0.bi = 25	25 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-700-38-30	Δ = 700	bi.bi = 38	b0.bi = 30	6 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-701-74-40	Δ = 701	bi.bi = 74	b0.bi = 40	4 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-707-22-24	Δ = 707	bi.bi = 22	b0.bi = 24	30 x (irr-E7-56-h)
vtx-E07-707-35-29	Δ = 707	bi.bi = 35	b0.bi = 29	11 x (irr-E7-56-h) + 4 x (irr-E7-133)
vtx-E07-708-71-39	Δ = 708	bi.bi = 71	b0.bi = 39	9 x (irr-E7-56-h) + 1 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-714-32-28	Δ = 714	bi.bi = 32	b0.bi = 28	16 x (irr-E7-56-h) + 3 x (irr-E7-133)
vtx-E07-715-68-38	Δ = 715	bi.bi = 68	b0.bi = 38	14 x (irr-E7-56-h) + 1 x (irr-E7-912-h)
vtx-E07-721-29-27	Δ = 721	bi.bi = 29	b0.bi = 27	21 x (irr-E7-56-h) + 2 x (irr-E7-133)
vtx-E07-721-42-32	Δ = 721	bi.bi = 42	b0.bi = 32	2 x (irr-E7-56-h) + 6 x (irr-E7-133)
vtx-E07-722-78-42	Δ = 722	bi.bi = 78	b0.bi = 42	3 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-728-26-26	Δ = 728	bi.bi = 26	b0.bi = 26	26 x (irr-E7-56-h) + 1 x (irr-E7-133)
vtx-E07-728-39-31	Δ = 728	bi.bi = 39	b0.bi = 31	7 x (irr-E7-56-h) + 5 x (irr-E7-133)
vtx-E07-729-75-41	Δ = 729	bi.bi = 75	b0.bi = 41	5 x (irr-E7-56-h) + 2 x (irr-E7-133) + 1 x (irr-E7-912-h)
vtx-E07-735-23-25	Δ = 735	bi.bi = 23	b0.bi = 25	31 x (irr-E7-56-h)
vtx-E07-735-36-30	Δ = 735	bi.bi = 36	b0.bi = 30	12 x (irr-E7-56-h) + 4 x (irr-E7-133)
