vtx-B03-287-100-30-b	Δ = 287	bi.bi = 100	b0.bi = 30	5 x (irr-B3-7) + 3 x (irr-B3-21) + 3 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-288-36-18	Δ = 288	bi.bi = 36	b0.bi = 18	9 x (irr-B3-7) + 16 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-35)
vtx-B03-290-100-30	Δ = 290	bi.bi = 100	b0.bi = 30	1 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 2 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-294-100-30-a	Δ = 294	bi.bi = 100	b0.bi = 30	10 x (irr-B3-7) + 4 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-294-100-30-b	Δ = 294	bi.bi = 100	b0.bi = 30	9 x (irr-B3-7) + 2 x (irr-B3-8) + 2 x (irr-B3-27) + 2 x (irr-B3-35) + 1 x (irr-B3-112a)
vtx-B03-296-49-21	Δ = 296	bi.bi = 49	b0.bi = 21	2 x (irr-B3-7) + 18 x (irr-B3-8) + 2 x (irr-B3-27) + 3 x (irr-B3-35)
vtx-B03-297-36-18	Δ = 297	bi.bi = 36	b0.bi = 18	26 x (irr-B3-8) + 1 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-48)
vtx-B03-300-225-45	Δ = 300	bi.bi = 225	b0.bi = 45	2 x (irr-B3-8) + 1 x (irr-B3-21) + 3 x (irr-B3-27) + 1 x (irr-B3-35) + 1 x (irr-B3-168b)
vtx-B03-327-81-27	Δ = 327	bi.bi = 81	b0.bi = 27	20 x (irr-B3-7) + 6 x (irr-B3-8) + 1 x (irr-B3-48) + 1 x (irr-B3-112a)
vtx-B03-333-81-27	Δ = 333	bi.bi = 81	b0.bi = 27	14 x (irr-B3-7) + 12 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-27) + 1 x (irr-B3-112a)
vtx-B03-337-121-33	Δ = 337	bi.bi = 121	b0.bi = 33	19 x (irr-B3-7) + 4 x (irr-B3-8) + 3 x (irr-B3-27) + 1 x (irr-B3-112b)
vtx-B03-348-81-27	Δ = 348	bi.bi = 81	b0.bi = 27	26 x (irr-B3-8) + 1 x (irr-B3-21) + 1 x (irr-B3-35) + 1 x (irr-B3-105)
vtx-B03-392-196-42	Δ = 392	bi.bi = 196	b0.bi = 42	35 x (irr-B3-7) + 1 x (irr-B3-168b)
