vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-202-70-20	Δ = 202	bi.bi = 70	b0.bi = 20	14 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-202-78-22	Δ = 202	bi.bi = 78	b0.bi = 22	8 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-202-86-24	Δ = 202	bi.bi = 86	b0.bi = 24	2 x (irr-G2-7) + 6 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-202-97-23	Δ = 202	bi.bi = 97	b0.bi = 23	12 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-202-105-25	Δ = 202	bi.bi = 105	b0.bi = 25	6 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-202-113-27	Δ = 202	bi.bi = 113	b0.bi = 27	8 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-202-142-26	Δ = 202	bi.bi = 142	b0.bi = 26	14 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-202-147-31	Δ = 202	bi.bi = 147	b0.bi = 31	3 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-202-150-28	Δ = 202	bi.bi = 150	b0.bi = 28	8 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-202-158-30	Δ = 202	bi.bi = 158	b0.bi = 30	2 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-202-174-34	Δ = 202	bi.bi = 174	b0.bi = 34	1 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-202-219-37	Δ = 202	bi.bi = 219	b0.bi = 37	3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-202-264-40	Δ = 202	bi.bi = 264	b0.bi = 40	5 x (irr-G2-7) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-202-448-54	Δ = 202	bi.bi = 448	b0.bi = 54	1 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-203-7-9	Δ = 203	bi.bi = 7	b0.bi = 9	31 x (irr-G2-7)
vtx-G02-203-15-11	Δ = 203	bi.bi = 15	b0.bi = 11	25 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-203-23-13	Δ = 203	bi.bi = 23	b0.bi = 13	19 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-203-31-15	Δ = 203	bi.bi = 31	b0.bi = 15	13 x (irr-G2-7) + 9 x (irr-G2-14)
vtx-G02-203-39-17	Δ = 203	bi.bi = 39	b0.bi = 17	7 x (irr-G2-7) + 12 x (irr-G2-14)
vtx-G02-203-47-19	Δ = 203	bi.bi = 47	b0.bi = 19	1 x (irr-G2-7) + 15 x (irr-G2-14)
vtx-G02-203-61-21	Δ = 203	bi.bi = 61	b0.bi = 21	4 x (irr-G2-7) + 7 x (irr-G2-27)
vtx-G02-203-65-19	Δ = 203	bi.bi = 65	b0.bi = 19	16 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-203-73-21	Δ = 203	bi.bi = 73	b0.bi = 21	10 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-203-81-23	Δ = 203	bi.bi = 81	b0.bi = 23	4 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-203-84-20	Δ = 203	bi.bi = 84	b0.bi = 20	20 x (irr-G2-7) + 1 x (irr-G2-77a)
vtx-G02-203-92-22	Δ = 203	bi.bi = 92	b0.bi = 22	14 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-203-100-24	Δ = 203	bi.bi = 100	b0.bi = 24	8 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-203-108-26	Δ = 203	bi.bi = 108	b0.bi = 26	2 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-203-123-29	Δ = 203	bi.bi = 123	b0.bi = 29	1 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-203-137-25	Δ = 203	bi.bi = 137	b0.bi = 25	16 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-203-142-30	Δ = 203	bi.bi = 142	b0.bi = 30	5 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-203-145-27	Δ = 203	bi.bi = 145	b0.bi = 27	10 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-203-153-29	Δ = 203	bi.bi = 153	b0.bi = 29	4 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-203-161-31	Δ = 203	bi.bi = 161	b0.bi = 31	9 x (irr-G2-7) + 2 x (irr-G2-77a)
vtx-G02-203-169-33	Δ = 203	bi.bi = 169	b0.bi = 33	3 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-77a)
vtx-G02-203-187-33	Δ = 203	bi.bi = 187	b0.bi = 33	7 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-203-195-35	Δ = 203	bi.bi = 195	b0.bi = 35	1 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-203-214-36	Δ = 203	bi.bi = 214	b0.bi = 36	5 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-203-259-39	Δ = 203	bi.bi = 259	b0.bi = 39	7 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-203-267-41	Δ = 203	bi.bi = 267	b0.bi = 41	1 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-203-358-48	Δ = 203	bi.bi = 358	b0.bi = 48	4 x (irr-G2-7) + 1 x (irr-G2-189)
vtx-G02-203-443-53	Δ = 203	bi.bi = 443	b0.bi = 53	3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-182)
vtx-G02-204-56-20	Δ = 204	bi.bi = 56	b0.bi = 20	6 x (irr-G2-7) + 1 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-204-60-18	Δ = 204	bi.bi = 60	b0.bi = 18	18 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-204-64-22	Δ = 204	bi.bi = 64	b0.bi = 22	4 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-204-68-20	Δ = 204	bi.bi = 68	b0.bi = 20	12 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-204-76-22	Δ = 204	bi.bi = 76	b0.bi = 22	6 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-204-84-24	Δ = 204	bi.bi = 84	b0.bi = 24	11 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-204-110-26	Δ = 204	bi.bi = 110	b0.bi = 26	9 x (irr-G2-7) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-204-118-28	Δ = 204	bi.bi = 118	b0.bi = 28	3 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-204-137-29	Δ = 204	bi.bi = 137	b0.bi = 29	7 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-204-145-31	Δ = 204	bi.bi = 145	b0.bi = 31	1 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-204-182-32	Δ = 204	bi.bi = 182	b0.bi = 32	9 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-204-190-34	Δ = 204	bi.bi = 190	b0.bi = 34	3 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-204-304-46	Δ = 204	bi.bi = 304	b0.bi = 46	1 x (irr-G2-64) + 2 x (irr-G2-77b)
vtx-G02-205-51-19	Δ = 205	bi.bi = 51	b0.bi = 19	8 x (irr-G2-7) + 2 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-205-59-21	Δ = 205	bi.bi = 59	b0.bi = 21	2 x (irr-G2-7) + 5 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-205-105-25	Δ = 205	bi.bi = 105	b0.bi = 25	11 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-205-113-27	Δ = 205	bi.bi = 113	b0.bi = 27	5 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-205-182-36	Δ = 205	bi.bi = 182	b0.bi = 36	1 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-205-227-39	Δ = 205	bi.bi = 227	b0.bi = 39	2 x (irr-G2-7) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-206-38-16	Δ = 206	bi.bi = 38	b0.bi = 16	16 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-206-46-18	Δ = 206	bi.bi = 46	b0.bi = 18	10 x (irr-G2-7) + 3 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-206-54-20	Δ = 206	bi.bi = 54	b0.bi = 20	4 x (irr-G2-7) + 6 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-206-96-26	Δ = 206	bi.bi = 96	b0.bi = 26	1 x (irr-G2-7) + 1 x (irr-G2-14) + 5 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-206-115-27	Δ = 206	bi.bi = 115	b0.bi = 27	5 x (irr-G2-7) + 4 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-206-150-32	Δ = 206	bi.bi = 150	b0.bi = 32	4 x (irr-G2-7) + 3 x (irr-G2-64)
vtx-G02-206-168-32	Δ = 206	bi.bi = 168	b0.bi = 32	1 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-207-33-15	Δ = 207	bi.bi = 33	b0.bi = 15	18 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-207-41-17	Δ = 207	bi.bi = 41	b0.bi = 17	12 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-207-49-19	Δ = 207	bi.bi = 49	b0.bi = 19	6 x (irr-G2-7) + 7 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-207-57-21	Δ = 207	bi.bi = 57	b0.bi = 21	10 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-207-91-25	Δ = 207	bi.bi = 91	b0.bi = 25	3 x (irr-G2-7) + 2 x (irr-G2-14) + 4 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-207-110-26	Δ = 207	bi.bi = 110	b0.bi = 26	7 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-207-118-28	Δ = 207	bi.bi = 118	b0.bi = 28	1 x (irr-G2-7) + 4 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-207-155-29	Δ = 207	bi.bi = 155	b0.bi = 29	9 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-207-163-31	Δ = 207	bi.bi = 163	b0.bi = 31	3 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-208-28-14	Δ = 208	bi.bi = 28	b0.bi = 14	20 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-208-36-16	Δ = 208	bi.bi = 36	b0.bi = 16	14 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-208-44-18	Δ = 208	bi.bi = 44	b0.bi = 18	8 x (irr-G2-7) + 8 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-208-52-20	Δ = 208	bi.bi = 52	b0.bi = 20	2 x (irr-G2-7) + 11 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-208-78-22	Δ = 208	bi.bi = 78	b0.bi = 22	11 x (irr-G2-7) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-208-86-24	Δ = 208	bi.bi = 86	b0.bi = 24	5 x (irr-G2-7) + 3 x (irr-G2-14) + 3 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-208-105-25	Δ = 208	bi.bi = 105	b0.bi = 25	9 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-208-113-27	Δ = 208	bi.bi = 113	b0.bi = 27	3 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-208-150-28	Δ = 208	bi.bi = 150	b0.bi = 28	11 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-208-155-33	Δ = 208	bi.bi = 155	b0.bi = 33	3 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-208-158-30	Δ = 208	bi.bi = 158	b0.bi = 30	5 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-208-227-39	Δ = 208	bi.bi = 227	b0.bi = 39	1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-208-272-42	Δ = 208	bi.bi = 272	b0.bi = 42	2 x (irr-G2-7) + 2 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-209-15-11	Δ = 209	bi.bi = 15	b0.bi = 11	28 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-209-23-13	Δ = 209	bi.bi = 23	b0.bi = 13	22 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-209-31-15	Δ = 209	bi.bi = 31	b0.bi = 15	16 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-209-39-17	Δ = 209	bi.bi = 39	b0.bi = 17	10 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-209-47-19	Δ = 209	bi.bi = 47	b0.bi = 19	4 x (irr-G2-7) + 12 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-209-69-23	Δ = 209	bi.bi = 69	b0.bi = 23	1 x (irr-G2-7) + 8 x (irr-G2-27)
vtx-G02-209-73-21	Δ = 209	bi.bi = 73	b0.bi = 21	13 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-209-81-23	Δ = 209	bi.bi = 81	b0.bi = 23	7 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-209-89-25	Δ = 209	bi.bi = 89	b0.bi = 25	1 x (irr-G2-7) + 7 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-209-92-22	Δ = 209	bi.bi = 92	b0.bi = 22	17 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-209-100-24	Δ = 209	bi.bi = 100	b0.bi = 24	11 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-209-108-26	Δ = 209	bi.bi = 108	b0.bi = 26	5 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-209-145-27	Δ = 209	bi.bi = 145	b0.bi = 27	13 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-209-150-32	Δ = 209	bi.bi = 150	b0.bi = 32	2 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-209-153-29	Δ = 209	bi.bi = 153	b0.bi = 29	7 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-209-161-31	Δ = 209	bi.bi = 161	b0.bi = 31	1 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-209-169-33	Δ = 209	bi.bi = 169	b0.bi = 33	6 x (irr-G2-7) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-209-177-35	Δ = 209	bi.bi = 177	b0.bi = 35	3 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77a)
vtx-G02-209-195-35	Δ = 209	bi.bi = 195	b0.bi = 35	4 x (irr-G2-7) + 2 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-209-222-38	Δ = 209	bi.bi = 222	b0.bi = 38	2 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-209-267-41	Δ = 209	bi.bi = 267	b0.bi = 41	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-77b)
vtx-G02-209-366-50	Δ = 209	bi.bi = 366	b0.bi = 50	1 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-189)
vtx-G02-209-451-55	Δ = 209	bi.bi = 451	b0.bi = 55	1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-182)
vtx-G02-210-10-10	Δ = 210	bi.bi = 10	b0.bi = 10	30 x (irr-G2-7) + 1 x (irr-G2-14)
vtx-G02-210-18-12	Δ = 210	bi.bi = 18	b0.bi = 12	24 x (irr-G2-7) + 4 x (irr-G2-14)
vtx-G02-210-26-14	Δ = 210	bi.bi = 26	b0.bi = 14	18 x (irr-G2-7) + 7 x (irr-G2-14)
vtx-G02-210-34-16	Δ = 210	bi.bi = 34	b0.bi = 16	12 x (irr-G2-7) + 10 x (irr-G2-14)
vtx-G02-210-42-18	Δ = 210	bi.bi = 42	b0.bi = 18	6 x (irr-G2-7) + 13 x (irr-G2-14)
vtx-G02-210-50-20	Δ = 210	bi.bi = 50	b0.bi = 20	16 x (irr-G2-14)
vtx-G02-210-64-22	Δ = 210	bi.bi = 64	b0.bi = 22	3 x (irr-G2-7) + 1 x (irr-G2-14) + 7 x (irr-G2-27)
vtx-G02-210-68-20	Δ = 210	bi.bi = 68	b0.bi = 20	15 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-210-76-22	Δ = 210	bi.bi = 76	b0.bi = 22	9 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-210-84-24	Δ = 210	bi.bi = 84	b0.bi = 24	3 x (irr-G2-7) + 8 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-210-87-21	Δ = 210	bi.bi = 87	b0.bi = 21	19 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-210-95-23	Δ = 210	bi.bi = 95	b0.bi = 23	13 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-210-103-25	Δ = 210	bi.bi = 103	b0.bi = 25	7 x (irr-G2-7) + 7 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-210-111-27	Δ = 210	bi.bi = 111	b0.bi = 27	1 x (irr-G2-7) + 10 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-210-118-28	Δ = 210	bi.bi = 118	b0.bi = 28	6 x (irr-G2-7) + 2 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-210-126-30	Δ = 210	bi.bi = 126	b0.bi = 30	3 x (irr-G2-14) + 2 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-210-132-24	Δ = 210	bi.bi = 132	b0.bi = 24	21 x (irr-G2-7) + 1 x (irr-G2-77b)
vtx-G02-210-140-26	Δ = 210	bi.bi = 140	b0.bi = 26	15 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-210-145-31	Δ = 210	bi.bi = 145	b0.bi = 31	4 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-210-148-28	Δ = 210	bi.bi = 148	b0.bi = 28	9 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-210-156-30	Δ = 210	bi.bi = 156	b0.bi = 30	3 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-210-164-32	Δ = 210	bi.bi = 164	b0.bi = 32	8 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-77a)
vtx-G02-210-172-34	Δ = 210	bi.bi = 172	b0.bi = 34	2 x (irr-G2-7) + 4 x (irr-G2-14) + 2 x (irr-G2-77a)
vtx-G02-210-190-34	Δ = 210	bi.bi = 190	b0.bi = 34	6 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-210-198-36	Δ = 210	bi.bi = 198	b0.bi = 36	4 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-210-209-35	Δ = 210	bi.bi = 209	b0.bi = 35	10 x (irr-G2-7) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-210-217-37	Δ = 210	bi.bi = 217	b0.bi = 37	4 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-77a) + 1 x (irr-G2-77b)
vtx-G02-210-262-40	Δ = 210	bi.bi = 262	b0.bi = 40	6 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-210-270-42	Δ = 210	bi.bi = 270	b0.bi = 42	5 x (irr-G2-14) + 2 x (irr-G2-77b)
vtx-G02-210-361-49	Δ = 210	bi.bi = 361	b0.bi = 49	3 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-189)
vtx-G02-210-446-54	Δ = 210	bi.bi = 446	b0.bi = 54	2 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-182)
vtx-G02-211-55-17	Δ = 211	bi.bi = 55	b0.bi = 17	23 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-211-59-21	Δ = 211	bi.bi = 59	b0.bi = 21	5 x (irr-G2-7) + 2 x (irr-G2-14) + 6 x (irr-G2-27)
vtx-G02-211-63-19	Δ = 211	bi.bi = 63	b0.bi = 19	17 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-211-71-21	Δ = 211	bi.bi = 71	b0.bi = 21	11 x (irr-G2-7) + 6 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-211-79-23	Δ = 211	bi.bi = 79	b0.bi = 23	5 x (irr-G2-7) + 9 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-211-113-27	Δ = 211	bi.bi = 113	b0.bi = 27	8 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-211-121-29	Δ = 211	bi.bi = 121	b0.bi = 29	2 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27) + 2 x (irr-G2-64)
vtx-G02-211-132-28	Δ = 211	bi.bi = 132	b0.bi = 28	12 x (irr-G2-7) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-211-140-30	Δ = 211	bi.bi = 140	b0.bi = 30	6 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-211-148-32	Δ = 211	bi.bi = 148	b0.bi = 32	6 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77a)
vtx-G02-211-185-33	Δ = 211	bi.bi = 185	b0.bi = 33	8 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-211-193-35	Δ = 211	bi.bi = 193	b0.bi = 35	2 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-211-209-39	Δ = 211	bi.bi = 209	b0.bi = 39	1 x (irr-G2-7) + 1 x (irr-G2-64) + 2 x (irr-G2-77a)
vtx-G02-212-46-18	Δ = 212	bi.bi = 46	b0.bi = 18	13 x (irr-G2-7) + 5 x (irr-G2-27)
vtx-G02-212-54-20	Δ = 212	bi.bi = 54	b0.bi = 20	7 x (irr-G2-7) + 3 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-212-62-22	Δ = 212	bi.bi = 62	b0.bi = 22	1 x (irr-G2-7) + 6 x (irr-G2-14) + 5 x (irr-G2-27)
vtx-G02-212-108-26	Δ = 212	bi.bi = 108	b0.bi = 26	10 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-212-116-28	Δ = 212	bi.bi = 116	b0.bi = 28	4 x (irr-G2-7) + 5 x (irr-G2-14) + 2 x (irr-G2-64)
vtx-G02-212-123-29	Δ = 212	bi.bi = 123	b0.bi = 29	2 x (irr-G2-7) + 5 x (irr-G2-27) + 1 x (irr-G2-77a)
vtx-G02-212-158-34	Δ = 212	bi.bi = 158	b0.bi = 34	1 x (irr-G2-7) + 1 x (irr-G2-27) + 3 x (irr-G2-64)
vtx-G02-212-230-40	Δ = 212	bi.bi = 230	b0.bi = 40	1 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-64) + 1 x (irr-G2-77b)
vtx-G02-213-41-17	Δ = 213	bi.bi = 41	b0.bi = 17	15 x (irr-G2-7) + 1 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-213-49-19	Δ = 213	bi.bi = 49	b0.bi = 19	9 x (irr-G2-7) + 4 x (irr-G2-14) + 4 x (irr-G2-27)
vtx-G02-213-57-21	Δ = 213	bi.bi = 57	b0.bi = 21	3 x (irr-G2-7) + 7 x (irr-G2-14) + 4 x (irr-G2-27)
