vtx-G02-n7-n3-n1	Δ = -7	bi.bi = -3	b0.bi = -1	1 x (irr-G2-7)
vtx-G02-85-49-11	Δ = 85	bi.bi = 49	b0.bi = 11	5 x (irr-G2-7) + 1 x (irr-G2-64)
vtx-G02-89-17-7	Δ = 89	bi.bi = 17	b0.bi = 7	7 x (irr-G2-7) + 2 x (irr-G2-27)
vtx-G02-89-25-9	Δ = 89	bi.bi = 25	b0.bi = 9	1 x (irr-G2-7) + 3 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-90-12-6	Δ = 90	bi.bi = 12	b0.bi = 6	9 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-90-20-8	Δ = 90	bi.bi = 20	b0.bi = 8	3 x (irr-G2-7) + 4 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-90-134-20	Δ = 90	bi.bi = 134	b0.bi = 20	1 x (irr-G2-27) + 1 x (irr-G2-77b)
vtx-G02-91-7-5	Δ = 91	bi.bi = 7	b0.bi = 5	11 x (irr-G2-7) + 2 x (irr-G2-14)
vtx-G02-91-15-7	Δ = 91	bi.bi = 15	b0.bi = 7	5 x (irr-G2-7) + 5 x (irr-G2-14)
vtx-G02-91-57-13	Δ = 91	bi.bi = 57	b0.bi = 13	2 x (irr-G2-7) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-91-84-16	Δ = 91	bi.bi = 84	b0.bi = 16	2 x (irr-G2-14) + 1 x (irr-G2-77a)
vtx-G02-91-129-19	Δ = 91	bi.bi = 129	b0.bi = 19	2 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-92-52-12	Δ = 92	bi.bi = 52	b0.bi = 12	4 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-95-25-9	Δ = 95	bi.bi = 25	b0.bi = 9	4 x (irr-G2-7) + 3 x (irr-G2-27)
vtx-G02-96-20-8	Δ = 96	bi.bi = 20	b0.bi = 8	6 x (irr-G2-7) + 1 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-96-28-10	Δ = 96	bi.bi = 28	b0.bi = 10	4 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-97-15-7	Δ = 97	bi.bi = 15	b0.bi = 7	8 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-97-23-9	Δ = 97	bi.bi = 23	b0.bi = 9	2 x (irr-G2-7) + 5 x (irr-G2-14) + 1 x (irr-G2-27)
vtx-G02-98-2-4	Δ = 98	bi.bi = 2	b0.bi = 4	16 x (irr-G2-7)
vtx-G02-98-10-6	Δ = 98	bi.bi = 10	b0.bi = 6	10 x (irr-G2-7) + 3 x (irr-G2-14)
vtx-G02-98-18-8	Δ = 98	bi.bi = 18	b0.bi = 8	4 x (irr-G2-7) + 6 x (irr-G2-14)
vtx-G02-98-60-14	Δ = 98	bi.bi = 60	b0.bi = 14	1 x (irr-G2-7) + 1 x (irr-G2-14) + 1 x (irr-G2-27) + 1 x (irr-G2-64)
vtx-G02-98-79-15	Δ = 98	bi.bi = 79	b0.bi = 15	5 x (irr-G2-7) + 1 x (irr-G2-77a)
vtx-G02-98-132-20	Δ = 98	bi.bi = 132	b0.bi = 20	1 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-77b)
vtx-G02-99-55-13	Δ = 99	bi.bi = 55	b0.bi = 13	3 x (irr-G2-7) + 2 x (irr-G2-14) + 1 x (irr-G2-64)
vtx-G02-101-33-11	Δ = 101	bi.bi = 33	b0.bi = 11	1 x (irr-G2-7) + 4 x (irr-G2-27)
vtx-G02-102-28-10	Δ = 102	bi.bi = 28	b0.bi = 10	3 x (irr-G2-7) + 1 x (irr-G2-14) + 3 x (irr-G2-27)
vtx-G02-103-23-9	Δ = 103	bi.bi = 23	b0.bi = 9	5 x (irr-G2-7) + 2 x (irr-G2-14) + 2 x (irr-G2-27)
vtx-G02-104-10-6	Δ = 104	bi.bi = 10	b0.bi = 6	13 x (irr-G2-7) + 1 x (irr-G2-27)
vtx-G02-104-18-8	Δ = 104	bi.bi = 18	b0.bi = 8	7 x (irr-G2-7) + 3 x (irr-G2-14) + 1 x (irr-G2-27)
