vtx-C03-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C3-21)
vtx-C03-63-n1-1	Δ = 63	bi.bi = -1	b0.bi = 1	14 x (irr-C3-6)
vtx-C03-89-0-2	Δ = 89	bi.bi = 0	b0.bi = 2	16 x (irr-C3-6) + 1 x (irr-C3-14a)
vtx-C03-26-1-1	Δ = 26	bi.bi = 1	b0.bi = 1	2 x (irr-C3-6) + 1 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-49-5-3	Δ = 49	bi.bi = 5	b0.bi = 3	2 x (irr-C3-14b) + 2 x (irr-C3-21)
vtx-C03-52-2-2	Δ = 52	bi.bi = 2	b0.bi = 2	4 x (irr-C3-6) + 2 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-56-2-2	Δ = 56	bi.bi = 2	b0.bi = 2	7 x (irr-C3-6) + 1 x (irr-C3-14b) + 1 x (irr-C3-21)
vtx-C03-60-8-4	Δ = 60	bi.bi = 8	b0.bi = 4	2 x (irr-C3-14a) + 1 x (irr-C3-21) + 1 x (irr-C3-64-h)
vtx-C03-64-8-4	Δ = 64	bi.bi = 8	b0.bi = 4	3 x (irr-C3-6) + 1 x (irr-C3-14b) + 1 x (irr-C3-21) + 1 x (irr-C3-64-h)
vtx-C03-71-5-3	Δ = 71	bi.bi = 5	b0.bi = 3	10 x (irr-C3-6) + 1 x (irr-C3-64-h)
vtx-C03-75-6-4	Δ = 75	bi.bi = 6	b0.bi = 4	2 x (irr-C3-6) + 1 x (irr-C3-14a) + 2 x (irr-C3-14b) + 2 x (irr-C3-21)
vtx-C03-78-3-3	Δ = 78	bi.bi = 3	b0.bi = 3	6 x (irr-C3-6) + 3 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-79-11-5	Δ = 79	bi.bi = 11	b0.bi = 5	6 x (irr-C3-6) + 2 x (irr-C3-64-h)
vtx-C03-82-3-3	Δ = 82	bi.bi = 3	b0.bi = 3	9 x (irr-C3-6) + 1 x (irr-C3-14a) + 1 x (irr-C3-14b) + 1 x (irr-C3-21)
vtx-C03-83-14-6	Δ = 83	bi.bi = 14	b0.bi = 6	1 x (irr-C3-6) + 5 x (irr-C3-14b) + 1 x (irr-C3-56-h)
vtx-C03-86-9-5	Δ = 86	bi.bi = 9	b0.bi = 5	2 x (irr-C3-6) + 3 x (irr-C3-14a) + 1 x (irr-C3-21) + 1 x (irr-C3-64-h)
vtx-C03-87-17-7	Δ = 87	bi.bi = 17	b0.bi = 7	2 x (irr-C3-6) + 3 x (irr-C3-64-h)
vtx-C03-90-9-5	Δ = 90	bi.bi = 9	b0.bi = 5	5 x (irr-C3-6) + 1 x (irr-C3-14a) + 1 x (irr-C3-14b) + 1 x (irr-C3-21) + 1 x (irr-C3-64-h)
vtx-C03-97-6-4	Δ = 97	bi.bi = 6	b0.bi = 4	12 x (irr-C3-6) + 1 x (irr-C3-14a) + 1 x (irr-C3-64-h)
vtx-C03-97-7-5	Δ = 97	bi.bi = 7	b0.bi = 5	1 x (irr-C3-6) + 4 x (irr-C3-14a) + 1 x (irr-C3-14b) + 2 x (irr-C3-21)
vtx-C03-98-10-6	Δ = 98	bi.bi = 10	b0.bi = 6	4 x (irr-C3-14b) + 3 x (irr-C3-21)
vtx-C03-98-15-7	Δ = 98	bi.bi = 15	b0.bi = 7	1 x (irr-C3-6) + 1 x (irr-C3-14a) + 1 x (irr-C3-14b) + 1 x (irr-C3-21) + 2 x (irr-C3-64-h)
vtx-C03-101-7-5	Δ = 101	bi.bi = 7	b0.bi = 5	4 x (irr-C3-6) + 2 x (irr-C3-14a) + 2 x (irr-C3-14b) + 2 x (irr-C3-21)
vtx-C03-104-4-4	Δ = 104	bi.bi = 4	b0.bi = 4	8 x (irr-C3-6) + 4 x (irr-C3-14a) + 1 x (irr-C3-21)
vtx-C03-105-7-5	Δ = 105	bi.bi = 7	b0.bi = 5	7 x (irr-C3-6) + 3 x (irr-C3-14b) + 2 x (irr-C3-21)
vtx-C03-105-12-6	Δ = 105	bi.bi = 12	b0.bi = 6	8 x (irr-C3-6) + 1 x (irr-C3-14a) + 2 x (irr-C3-64-h)
vtx-C03-105-15-7	Δ = 105	bi.bi = 15	b0.bi = 7	3 x (irr-C3-14a) + 4 x (irr-C3-14b) + 1 x (irr-C3-56-h)
vtx-C03-108-4-4	Δ = 108	bi.bi = 4	b0.bi = 4	11 x (irr-C3-6) + 2 x (irr-C3-14a) + 1 x (irr-C3-14b) + 1 x (irr-C3-21)
vtx-C03-109-13-7	Δ = 109	bi.bi = 13	b0.bi = 7	2 x (irr-C3-14a) + 2 x (irr-C3-14b) + 2 x (irr-C3-21) + 1 x (irr-C3-64-h)
