vtx-C08-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C8-136)
vtx-C08-239-0-2	Δ = 239	bi.bi = 0	b0.bi = 2	16 x (irr-C8-16) + 1 x (irr-C8-119)
vtx-C08-248-n1-1	Δ = 248	bi.bi = -1	b0.bi = 1	24 x (irr-C8-16)
vtx-C08-221-2-4	Δ = 221	bi.bi = 2	b0.bi = 4	3 x (irr-C8-119)
vtx-C08-230-1-3	Δ = 230	bi.bi = 1	b0.bi = 3	8 x (irr-C8-16) + 2 x (irr-C8-119)
vtx-C08-367-6-8	Δ = 367	bi.bi = 6	b0.bi = 8	7 x (irr-C8-16) + 1 x (irr-C8-119) + 1 x (irr-C8-544-h)
vtx-C08-376-5-7	Δ = 376	bi.bi = 5	b0.bi = 7	15 x (irr-C8-16) + 1 x (irr-C8-544-h)
vtx-C08-504-11-13	Δ = 504	bi.bi = 11	b0.bi = 13	6 x (irr-C8-16) + 2 x (irr-C8-544-h)
