vtx-C04-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-C4-36)
vtx-C04-92-n1-1	Δ = 92	bi.bi = -1	b0.bi = 1	16 x (irr-C4-8)
vtx-C04-119-0-2	Δ = 119	bi.bi = 0	b0.bi = 2	16 x (irr-C4-8) + 1 x (irr-C4-27)
vtx-C04-27-1-1	Δ = 27	bi.bi = 1	b0.bi = 1	1 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-54-2-2	Δ = 54	bi.bi = 2	b0.bi = 2	2 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-64-2-2	Δ = 64	bi.bi = 2	b0.bi = 2	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-36)
vtx-C04-78-6-4	Δ = 78	bi.bi = 6	b0.bi = 4	2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-81-3-3	Δ = 81	bi.bi = 3	b0.bi = 3	3 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-91-3-3	Δ = 91	bi.bi = 3	b0.bi = 3	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-92-9-5	Δ = 92	bi.bi = 9	b0.bi = 5	3 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-160-h)
vtx-C04-105-7-5	Δ = 105	bi.bi = 7	b0.bi = 5	1 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-108-4-4	Δ = 108	bi.bi = 4	b0.bi = 4	4 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-118-4-4	Δ = 118	bi.bi = 4	b0.bi = 4	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 2 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-119-10-6	Δ = 119	bi.bi = 10	b0.bi = 6	3 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-27) + 1 x (irr-C4-160-h)
vtx-C04-128-4-4	Δ = 128	bi.bi = 4	b0.bi = 4	10 x (irr-C4-8) + 2 x (irr-C4-48-h) + 1 x (irr-C4-36)
vtx-C04-132-8-6	Δ = 132	bi.bi = 8	b0.bi = 6	2 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-135-5-5	Δ = 135	bi.bi = 5	b0.bi = 5	5 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-142-8-6	Δ = 142	bi.bi = 8	b0.bi = 6	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-145-5-5	Δ = 145	bi.bi = 5	b0.bi = 5	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 3 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-146-1-3	Δ = 146	bi.bi = 1	b0.bi = 3	16 x (irr-C4-8) + 2 x (irr-C4-27)
vtx-C04-146-11-7	Δ = 146	bi.bi = 11	b0.bi = 7	3 x (irr-C4-8) + 1 x (irr-C4-48-h) + 2 x (irr-C4-27) + 1 x (irr-C4-160-h)
vtx-C04-155-5-5	Δ = 155	bi.bi = 5	b0.bi = 5	10 x (irr-C4-8) + 2 x (irr-C4-48-h) + 1 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-156-1-3	Δ = 156	bi.bi = 1	b0.bi = 3	21 x (irr-C4-8) + 1 x (irr-C4-48-h)
vtx-C04-156-11-7	Δ = 156	bi.bi = 11	b0.bi = 7	8 x (irr-C4-8) + 2 x (irr-C4-48-h) + 1 x (irr-C4-160-h)
vtx-C04-156-12-8	Δ = 156	bi.bi = 12	b0.bi = 8	3 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-159-9-7	Δ = 159	bi.bi = 9	b0.bi = 7	3 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-162-6-6	Δ = 162	bi.bi = 6	b0.bi = 6	6 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-164-9-7	Δ = 164	bi.bi = 9	b0.bi = 7	4 x (irr-C4-8) + 4 x (irr-C4-48-h) + 2 x (irr-C4-36)
vtx-C04-169-9-7	Δ = 169	bi.bi = 9	b0.bi = 7	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-170-5-5	Δ = 170	bi.bi = 5	b0.bi = 5	16 x (irr-C4-8) + 1 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-170-15-9	Δ = 170	bi.bi = 15	b0.bi = 9	3 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-36) + 1 x (irr-C4-42) + 1 x (irr-C4-160-h)
vtx-C04-172-6-6	Δ = 172	bi.bi = 6	b0.bi = 6	5 x (irr-C4-8) + 1 x (irr-C4-48-h) + 4 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-173-2-4	Δ = 173	bi.bi = 2	b0.bi = 4	16 x (irr-C4-8) + 3 x (irr-C4-27)
vtx-C04-173-12-8	Δ = 173	bi.bi = 12	b0.bi = 8	3 x (irr-C4-8) + 1 x (irr-C4-48-h) + 3 x (irr-C4-27) + 1 x (irr-C4-160-h)
vtx-C04-182-6-6	Δ = 182	bi.bi = 6	b0.bi = 6	10 x (irr-C4-8) + 2 x (irr-C4-48-h) + 2 x (irr-C4-27) + 1 x (irr-C4-36)
vtx-C04-183-2-4	Δ = 183	bi.bi = 2	b0.bi = 4	21 x (irr-C4-8) + 1 x (irr-C4-48-h) + 1 x (irr-C4-27)
vtx-C04-183-12-8	Δ = 183	bi.bi = 12	b0.bi = 8	8 x (irr-C4-8) + 2 x (irr-C4-48-h) + 1 x (irr-C4-27) + 1 x (irr-C4-160-h)
vtx-C04-183-13-9	Δ = 183	bi.bi = 13	b0.bi = 9	1 x (irr-C4-27) + 3 x (irr-C4-36) + 2 x (irr-C4-42)
vtx-C04-186-10-8	Δ = 186	bi.bi = 10	b0.bi = 8	4 x (irr-C4-27) + 2 x (irr-C4-36) + 1 x (irr-C4-42)
vtx-C04-189-7-7	Δ = 189	bi.bi = 7	b0.bi = 7	7 x (irr-C4-27) + 1 x (irr-C4-36)
