vtx-A07-n27-n1-n1	Δ = -27	bi.bi = -1	b0.bi = -1	1 x (irr-A7-36)
vtx-A07-191-10-8-a	Δ = 191	bi.bi = 10	b0.bi = 8	4 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-191-10-8-b	Δ = 191	bi.bi = 10	b0.bi = 8	2 x (irr-A7-8) + 2 x (irr-A7-56) + 2 x (irr-A7-63)
vtx-A07-192-10-8	Δ = 192	bi.bi = 10	b0.bi = 8	2 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-193-2-4	Δ = 193	bi.bi = 2	b0.bi = 4	25 x (irr-A7-8) + 1 x (irr-A7-56)
vtx-A07-193-10-8	Δ = 193	bi.bi = 10	b0.bi = 8	2 x (irr-A7-8) + 2 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-196-7-7	Δ = 196	bi.bi = 7	b0.bi = 7	7 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-197-7-7	Δ = 197	bi.bi = 7	b0.bi = 7	8 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-198-6-6	Δ = 198	bi.bi = 6	b0.bi = 6	16 x (irr-A7-8) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-199-6-6	Δ = 199	bi.bi = 6	b0.bi = 6	16 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-205-3-5	Δ = 205	bi.bi = 3	b0.bi = 5	16 x (irr-A7-8) + 5 x (irr-A7-28)
vtx-A07-207-10-8	Δ = 207	bi.bi = 10	b0.bi = 8	9 x (irr-A7-8) + 2 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-212-7-7	Δ = 212	bi.bi = 7	b0.bi = 7	9 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-212-14-10	Δ = 212	bi.bi = 14	b0.bi = 10	2 x (irr-A7-36) + 1 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-213-7-7	Δ = 213	bi.bi = 7	b0.bi = 7	9 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-213-14-10	Δ = 213	bi.bi = 14	b0.bi = 10	1 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-217-11-9	Δ = 217	bi.bi = 11	b0.bi = 9	3 x (irr-A7-28) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-218-11-9	Δ = 218	bi.bi = 11	b0.bi = 9	4 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-219-11-9-a	Δ = 219	bi.bi = 11	b0.bi = 9	2 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-56) + 2 x (irr-A7-63)
vtx-A07-219-11-9-b	Δ = 219	bi.bi = 11	b0.bi = 9	5 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-220-11-9	Δ = 220	bi.bi = 11	b0.bi = 9	2 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-221-3-5	Δ = 221	bi.bi = 3	b0.bi = 5	25 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-56)
vtx-A07-221-11-9	Δ = 221	bi.bi = 11	b0.bi = 9	2 x (irr-A7-8) + 3 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-224-8-8	Δ = 224	bi.bi = 8	b0.bi = 8	8 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-225-8-8	Δ = 225	bi.bi = 8	b0.bi = 8	9 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-226-7-7	Δ = 226	bi.bi = 7	b0.bi = 7	16 x (irr-A7-8) + 1 x (irr-A7-28) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-227-7-7	Δ = 227	bi.bi = 7	b0.bi = 7	16 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-229-7-7	Δ = 229	bi.bi = 7	b0.bi = 7	18 x (irr-A7-8) + 1 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-233-4-6	Δ = 233	bi.bi = 4	b0.bi = 6	16 x (irr-A7-8) + 6 x (irr-A7-28)
vtx-A07-234-11-9	Δ = 234	bi.bi = 11	b0.bi = 9	9 x (irr-A7-8) + 1 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-235-11-9	Δ = 235	bi.bi = 11	b0.bi = 9	9 x (irr-A7-8) + 1 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-239-15-11	Δ = 239	bi.bi = 15	b0.bi = 11	1 x (irr-A7-36) + 2 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-240-8-8	Δ = 240	bi.bi = 8	b0.bi = 8	9 x (irr-A7-8) + 4 x (irr-A7-28) + 1 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-240-15-11	Δ = 240	bi.bi = 15	b0.bi = 11	1 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-63) + 2 x (irr-A7-70)
vtx-A07-241-8-8	Δ = 241	bi.bi = 8	b0.bi = 8	9 x (irr-A7-8) + 5 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-56)
vtx-A07-241-15-11	Δ = 241	bi.bi = 15	b0.bi = 11	2 x (irr-A7-28) + 3 x (irr-A7-36) + 2 x (irr-A7-70)
vtx-A07-243-15-11	Δ = 243	bi.bi = 15	b0.bi = 11	2 x (irr-A7-8) + 3 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-70)
vtx-A07-245-12-10	Δ = 245	bi.bi = 12	b0.bi = 10	4 x (irr-A7-28) + 2 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-246-12-10	Δ = 246	bi.bi = 12	b0.bi = 10	5 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-247-12-10-a	Δ = 247	bi.bi = 12	b0.bi = 10	6 x (irr-A7-28) + 2 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-247-12-10-b	Δ = 247	bi.bi = 12	b0.bi = 10	2 x (irr-A7-8) + 2 x (irr-A7-28) + 2 x (irr-A7-56) + 2 x (irr-A7-63)
vtx-A07-248-12-10	Δ = 248	bi.bi = 12	b0.bi = 10	2 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-36) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
vtx-A07-249-4-6	Δ = 249	bi.bi = 4	b0.bi = 6	25 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-56)
vtx-A07-249-12-10	Δ = 249	bi.bi = 12	b0.bi = 10	2 x (irr-A7-8) + 4 x (irr-A7-28) + 2 x (irr-A7-36) + 2 x (irr-A7-56)
vtx-A07-252-9-9	Δ = 252	bi.bi = 9	b0.bi = 9	9 x (irr-A7-28) + 1 x (irr-A7-63)
vtx-A07-253-9-9	Δ = 253	bi.bi = 9	b0.bi = 9	10 x (irr-A7-28) + 1 x (irr-A7-36)
vtx-A07-254-8-8	Δ = 254	bi.bi = 8	b0.bi = 8	16 x (irr-A7-8) + 2 x (irr-A7-28) + 1 x (irr-A7-63) + 1 x (irr-A7-70)
vtx-A07-255-8-8	Δ = 255	bi.bi = 8	b0.bi = 8	16 x (irr-A7-8) + 3 x (irr-A7-28) + 1 x (irr-A7-36) + 1 x (irr-A7-70)
vtx-A07-256-8-8	Δ = 256	bi.bi = 8	b0.bi = 8	18 x (irr-A7-8) + 2 x (irr-A7-56) + 1 x (irr-A7-63)
