vtx-A16-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A16-288)
vtx-A16-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A16-136) + 1 x (irr-A16-153)
vtx-A16-18-n1-n1	Δ = 18	bi.bi = -1	b0.bi = -1	9 x (irr-A16-17) + 1 x (irr-A16-153)
vtx-A16-256-0-2	Δ = 256	bi.bi = 0	b0.bi = 2	16 x (irr-A16-17) + 2 x (irr-A16-136)
vtx-A16-273-n1-1	Δ = 273	bi.bi = -1	b0.bi = 1	25 x (irr-A16-17) + 1 x (irr-A16-136)
vtx-A16-290-n2-0	Δ = 290	bi.bi = -2	b0.bi = 0	34 x (irr-A16-17)
vtx-A16-239-1-3	Δ = 239	bi.bi = 1	b0.bi = 3	7 x (irr-A16-17) + 3 x (irr-A16-136)
vtx-A16-511-11-13	Δ = 511	bi.bi = 11	b0.bi = 13	7 x (irr-A16-17) + 1 x (irr-A16-680)
