vtx-A10-n21-n1-n1	Δ = -21	bi.bi = -1	b0.bi = -1	3 x (irr-A10-11) + 1 x (irr-A10-66)
vtx-A10-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A10-120)
vtx-A10-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A10-55) + 1 x (irr-A10-66)
vtx-A10-122-n2-0	Δ = 122	bi.bi = -2	b0.bi = 0	22 x (irr-A10-11)
vtx-A10-144-n1-1	Δ = 144	bi.bi = -1	b0.bi = 1	19 x (irr-A10-11) + 1 x (irr-A10-55)
vtx-A10-166-0-2	Δ = 166	bi.bi = 0	b0.bi = 2	16 x (irr-A10-11) + 2 x (irr-A10-55)
vtx-A10-188-1-3	Δ = 188	bi.bi = 1	b0.bi = 3	13 x (irr-A10-11) + 3 x (irr-A10-55)
vtx-A10-210-2-4	Δ = 210	bi.bi = 2	b0.bi = 4	10 x (irr-A10-11) + 4 x (irr-A10-55)
vtx-A10-210-6-6	Δ = 210	bi.bi = 6	b0.bi = 6	9 x (irr-A10-11) + 1 x (irr-A10-66) + 1 x (irr-A10-165)
vtx-A10-231-7-7	Δ = 231	bi.bi = 7	b0.bi = 7	6 x (irr-A10-11) + 1 x (irr-A10-120) + 1 x (irr-A10-165)
vtx-A10-232-3-5	Δ = 232	bi.bi = 3	b0.bi = 5	7 x (irr-A10-11) + 5 x (irr-A10-55)
vtx-A10-232-7-7	Δ = 232	bi.bi = 7	b0.bi = 7	6 x (irr-A10-11) + 1 x (irr-A10-55) + 1 x (irr-A10-66) + 1 x (irr-A10-165)
vtx-A10-253-8-8	Δ = 253	bi.bi = 8	b0.bi = 8	3 x (irr-A10-11) + 1 x (irr-A10-55) + 1 x (irr-A10-120) + 1 x (irr-A10-165)
vtx-A10-254-4-6	Δ = 254	bi.bi = 4	b0.bi = 6	4 x (irr-A10-11) + 6 x (irr-A10-55)
vtx-A10-254-8-8	Δ = 254	bi.bi = 8	b0.bi = 8	3 x (irr-A10-11) + 2 x (irr-A10-55) + 1 x (irr-A10-66) + 1 x (irr-A10-165)
vtx-A10-275-9-9	Δ = 275	bi.bi = 9	b0.bi = 9	2 x (irr-A10-55) + 1 x (irr-A10-120) + 1 x (irr-A10-165)
vtx-A10-276-5-7	Δ = 276	bi.bi = 5	b0.bi = 7	1 x (irr-A10-11) + 7 x (irr-A10-55)
vtx-A10-276-9-9	Δ = 276	bi.bi = 9	b0.bi = 9	3 x (irr-A10-55) + 1 x (irr-A10-66) + 1 x (irr-A10-165)
vtx-A10-353-5-7	Δ = 353	bi.bi = 5	b0.bi = 7	28 x (irr-A10-11) + 1 x (irr-A10-165)
vtx-A10-375-6-8	Δ = 375	bi.bi = 6	b0.bi = 8	25 x (irr-A10-11) + 1 x (irr-A10-55) + 1 x (irr-A10-165)
vtx-A10-397-7-9	Δ = 397	bi.bi = 7	b0.bi = 9	22 x (irr-A10-11) + 2 x (irr-A10-55) + 1 x (irr-A10-165)
vtx-A10-419-8-10	Δ = 419	bi.bi = 8	b0.bi = 10	19 x (irr-A10-11) + 3 x (irr-A10-55) + 1 x (irr-A10-165)
vtx-A10-441-9-11	Δ = 441	bi.bi = 9	b0.bi = 11	16 x (irr-A10-11) + 4 x (irr-A10-55) + 1 x (irr-A10-165)
vtx-A10-441-13-13	Δ = 441	bi.bi = 13	b0.bi = 13	15 x (irr-A10-11) + 1 x (irr-A10-66) + 2 x (irr-A10-165)
vtx-A10-462-14-14	Δ = 462	bi.bi = 14	b0.bi = 14	12 x (irr-A10-11) + 1 x (irr-A10-120) + 2 x (irr-A10-165)
vtx-A10-463-10-12	Δ = 463	bi.bi = 10	b0.bi = 12	13 x (irr-A10-11) + 5 x (irr-A10-55) + 1 x (irr-A10-165)
vtx-A10-463-14-14	Δ = 463	bi.bi = 14	b0.bi = 14	12 x (irr-A10-11) + 1 x (irr-A10-55) + 1 x (irr-A10-66) + 2 x (irr-A10-165)
