vtx-A08-n26-n1-n1	Δ = -26	bi.bi = -1	b0.bi = -1	1 x (irr-A8-9) + 1 x (irr-A8-45)
vtx-A08-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A8-80)
vtx-A08-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A8-36) + 1 x (irr-A8-45)
vtx-A08-82-n2-0	Δ = 82	bi.bi = -2	b0.bi = 0	18 x (irr-A8-9)
vtx-A08-109-n1-1	Δ = 109	bi.bi = -1	b0.bi = 1	17 x (irr-A8-9) + 1 x (irr-A8-36)
vtx-A08-136-0-2	Δ = 136	bi.bi = 0	b0.bi = 2	16 x (irr-A8-9) + 2 x (irr-A8-36)
vtx-A08-139-4-4	Δ = 139	bi.bi = 4	b0.bi = 4	10 x (irr-A8-9) + 1 x (irr-A8-45) + 1 x (irr-A8-84)
vtx-A08-163-1-3	Δ = 163	bi.bi = 1	b0.bi = 3	15 x (irr-A8-9) + 3 x (irr-A8-36)
vtx-A08-165-5-5	Δ = 165	bi.bi = 5	b0.bi = 5	9 x (irr-A8-9) + 1 x (irr-A8-80) + 1 x (irr-A8-84)
vtx-A08-166-5-5	Δ = 166	bi.bi = 5	b0.bi = 5	9 x (irr-A8-9) + 1 x (irr-A8-36) + 1 x (irr-A8-45) + 1 x (irr-A8-84)
vtx-A08-190-2-4	Δ = 190	bi.bi = 2	b0.bi = 4	14 x (irr-A8-9) + 4 x (irr-A8-36)
vtx-A08-192-6-6	Δ = 192	bi.bi = 6	b0.bi = 6	8 x (irr-A8-9) + 1 x (irr-A8-36) + 1 x (irr-A8-80) + 1 x (irr-A8-84)
vtx-A08-193-6-6	Δ = 193	bi.bi = 6	b0.bi = 6	8 x (irr-A8-9) + 2 x (irr-A8-36) + 1 x (irr-A8-45) + 1 x (irr-A8-84)
vtx-A08-196-10-8	Δ = 196	bi.bi = 10	b0.bi = 8	2 x (irr-A8-9) + 2 x (irr-A8-45) + 2 x (irr-A8-84)
vtx-A08-217-3-5	Δ = 217	bi.bi = 3	b0.bi = 5	13 x (irr-A8-9) + 5 x (irr-A8-36)
vtx-A08-217-10-8	Δ = 217	bi.bi = 10	b0.bi = 8	9 x (irr-A8-9) + 2 x (irr-A8-45) + 1 x (irr-A8-126)
