vtx-A19-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A19-399)
vtx-A19-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A19-190) + 1 x (irr-A19-210)
vtx-A19-51-n1-n1	Δ = 51	bi.bi = -1	b0.bi = -1	12 x (irr-A19-20) + 1 x (irr-A19-210)
vtx-A19-301-0-2	Δ = 301	bi.bi = 0	b0.bi = 2	16 x (irr-A19-20) + 2 x (irr-A19-190)
vtx-A19-351-n1-1	Δ = 351	bi.bi = -1	b0.bi = 1	28 x (irr-A19-20) + 1 x (irr-A19-190)
vtx-A19-401-n2-0	Δ = 401	bi.bi = -2	b0.bi = 0	40 x (irr-A19-20)
vtx-A19-251-1-3	Δ = 251	bi.bi = 1	b0.bi = 3	4 x (irr-A19-20) + 3 x (irr-A19-190)
