vtx-A14-0-0-0	Δ = 0	bi.bi = 0	b0.bi = 0	1 x (irr-A14-224)
vtx-A14-1-n1-n1	Δ = 1	bi.bi = -1	b0.bi = -1	7 x (irr-A14-15) + 1 x (irr-A14-120)
vtx-A14-1-0-0	Δ = 1	bi.bi = 0	b0.bi = 0	1 x (irr-A14-105) + 1 x (irr-A14-120)
vtx-A14-226-n2-0	Δ = 226	bi.bi = -2	b0.bi = 0	30 x (irr-A14-15)
vtx-A14-226-n1-1	Δ = 226	bi.bi = -1	b0.bi = 1	23 x (irr-A14-15) + 1 x (irr-A14-105)
vtx-A14-226-0-2	Δ = 226	bi.bi = 0	b0.bi = 2	16 x (irr-A14-15) + 2 x (irr-A14-105)
vtx-A14-226-1-3	Δ = 226	bi.bi = 1	b0.bi = 3	9 x (irr-A14-15) + 3 x (irr-A14-105)
vtx-A14-226-2-4	Δ = 226	bi.bi = 2	b0.bi = 4	2 x (irr-A14-15) + 4 x (irr-A14-105)
vtx-A14-501-9-11	Δ = 501	bi.bi = 9	b0.bi = 11	18 x (irr-A14-15) + 1 x (irr-A14-455)
vtx-A14-501-10-12	Δ = 501	bi.bi = 10	b0.bi = 12	11 x (irr-A14-15) + 1 x (irr-A14-105) + 1 x (irr-A14-455)
vtx-A14-501-11-13	Δ = 501	bi.bi = 11	b0.bi = 13	4 x (irr-A14-15) + 2 x (irr-A14-105) + 1 x (irr-A14-455)
vtx-A14-776-20-22	Δ = 776	bi.bi = 20	b0.bi = 22	6 x (irr-A14-15) + 2 x (irr-A14-455)
