clq-(3,0)-(1,0)-215-1c2f5b29	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-119-1-3]	Δ = 215	Δ+28n = 215	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 13 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C3-6)
clq-(3,0)-(1,0)-215-3035d33a	[vtx-A05-119-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 215	Δ+28n = 215	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 11 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(2) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)
clq-(3,0)-(1,0)-216-b50e6a53	[vtx-A05-120-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 216	Δ+28n = 216	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 12 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(2) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)
clq-(3,0)-(1,0)-217-453302f5	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C03-115-1-3]	Δ = 217	Δ+28n = 217	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 10 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C3-6)
clq-(3,0)-(1,0)-217-c1e62c5a	[vtx-A03-83-1-3, vtx-A05-118-1-3, vtx-C02-80-1-3]	Δ = 217	Δ+28n = 217	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A5-6) + 3 x (irr-A5-15)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A5-6, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)
clq-(3,0)-(1,0)-217-7bf85fe2	[vtx-A04-101-1-3, vtx-A04-101-1-3, vtx-C02-80-1-3]	Δ = 217	Δ+28n = 217	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 10 x (irr-A4-5) + 3 x (irr-A4-10)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A4-5, irr-A4-5)	(2,3) : 1 x (irr-A4-5, irr-C2-4)	(1,3) : 1 x (irr-A4-5, irr-C2-4)
clq-(3,0)-(1,0)-217-2e9dc4c0	[vtx-A05-121-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 217	Δ+28n = 217	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 13 x (irr-A5-6) + 3 x (irr-A5-20-h)	(2) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)
clq-(3,0)-(1,0)-218-8b5605cd	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C03-119-1-3]	Δ = 218	Δ+28n = 218	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 13 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C3-6)
clq-(3,0)-(1,0)-218-48a61073	[vtx-A03-83-1-3, vtx-A05-119-1-3, vtx-C02-80-1-3]	Δ = 218	Δ+28n = 218	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 11 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A5-6, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)
clq-(3,0)-(1,0)-219-fbb7b2b6	[vtx-A03-83-1-3, vtx-A05-120-1-3, vtx-C02-80-1-3]	Δ = 219	Δ+28n = 219	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 12 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(3) : 10 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A5-6)	(2,3) : 1 x (irr-A5-6, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)
clq-(3,0)-(1,0)-220-d8b92009	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A05-118-1-3]	Δ = 220	Δ+28n = 220	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1], [1, 1, 1], [1, 1, 1]]	b0.bi = [3, 3, 3]	(1) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 10 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 10 x (irr-A5-6) + 3 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A5-6)	(1,3) : 1 x (irr-A3-4, irr-A5-6)
