clq-(4,0)-(1,0)-238-fe735238	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 238	Δ+28n = 238	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 6 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 6 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A3-4, irr-C3-6)
clq-(4,0)-(1,0)-238-0bf59cf2	[vtx-A05-118-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 238	Δ+28n = 238	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 6 x (irr-A5-6) + 3 x (irr-A5-15)	(2) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A5-6, irr-C2-4)
clq-(4,0)-(1,0)-239-a232c7f5	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-119-1-3]	Δ = 239	Δ+28n = 239	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 9 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-C2-4, irr-C3-6)
clq-(4,0)-(1,0)-239-51101441	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6]	Δ = 239	Δ+28n = 239	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 2], [1, 1, 1, 2], [1, 1, 1, 2], [2, 2, 2, 4]]	b0.bi = [3, 3, 3, 6]	(1) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(2) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 8 x (irr-C2-4) + 5 x (irr-C2-5)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 2 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 2 x (irr-C2-4, irr-C2-4)	(1,4) : 2 x (irr-C2-4, irr-C2-4)
clq-(4,0)-(1,0)-239-07a37787	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-A04-101-1-3, vtx-C02-80-1-3]	Δ = 239	Δ+28n = 239	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 7 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 7 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 7 x (irr-A4-5) + 3 x (irr-A4-10)	(4) : 7 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-A4-5)	(3,4) : 1 x (irr-A4-5, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-A4-5)	(2,4) : 1 x (irr-A3-4, irr-C2-4)	(1,4) : 1 x (irr-A3-4, irr-C2-4)
clq-(4,0)-(1,0)-239-1602b570	[vtx-A05-119-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 239	Δ+28n = 239	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 7 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(2) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A5-6, irr-C2-4)
clq-(4,0)-(1,0)-240-abb3adfc	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-189-9-9]	Δ = 240	Δ+28n = 240	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 3], [1, 1, 1, 3], [1, 1, 1, 3], [3, 3, 3, 9]]	b0.bi = [3, 3, 3, 9]	(1) : 3 x (irr-A3-6)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 9 x (irr-C2-5) + 1 x (irr-C2-10)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 3 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 3 x (irr-C2-4, irr-C2-4)	(1,4) : 3 x (irr-A3-4, irr-C2-4)
clq-(4,0)-(1,0)-240-4fbb491f	[vtx-A05-120-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 240	Δ+28n = 240	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3]	(1) : 8 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(2) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 6 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A5-6, irr-C2-4)
clq-(4,0)-(1,0)-241-f5cdbdf6	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-193-4-6]	Δ = 241	Δ+28n = 241	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 2], [1, 1, 1, 2], [1, 1, 1, 2], [2, 2, 2, 4]]	b0.bi = [3, 3, 3, 6]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 5 x (irr-C3-14a)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 2 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 2 x (irr-C2-4, irr-C3-6)	(1,4) : 2 x (irr-C2-4, irr-C3-6)
clq-(4,0)-(1,0)-241-2553b90e	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-143-4-6, vtx-C04-146-1-3]	Δ = 241	Δ+28n = 241	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 2, 1], [1, 1, 2, 1], [2, 2, 4, 2], [1, 1, 2, 1]]	b0.bi = [3, 3, 6, 3]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 5 x (irr-C2-5)	(4) : 2 x (irr-C4-27)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 2 x (irr-C2-4, irr-C2-4)	(3,4) : 2 x (irr-C2-4, irr-C4-8)	(1,3) : 2 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C4-8)	(1,4) : 1 x (irr-C2-4, irr-C4-8)
