clq-(1,0)-(1,0)-149-6eca961c	[vtx-A07-149-1-3]	Δ = 149	Δ+28n = 149	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 16 x (irr-A7-8) + 3 x (irr-A7-28)
clq-(1,0)-(1,0)-149-7cfca879	[vtx-A03-149-4-6]	Δ = 149	Δ+28n = 149	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 32 x (irr-A3-4) + 6 x (irr-A3-6)
clq-(1,0)-(1,0)-156-17224a74	[vtx-C04-156-1-3]	Δ = 156	Δ+28n = 156	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 21 x (irr-C4-8) + 1 x (irr-C4-48-h)
clq-(1,0)-(1,0)-156-b46ed549	[vtx-B03-156-4-6]	Δ = 156	Δ+28n = 156	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 7 x (irr-B3-7) + 16 x (irr-B3-8)
clq-(1,0)-(1,0)-163-3626620f	[vtx-A08-163-1-3]	Δ = 163	Δ+28n = 163	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 15 x (irr-A8-9) + 3 x (irr-A8-36)
clq-(1,0)-(1,0)-164-f6f4e43b	[vtx-D04-164-4-6]	Δ = 164	Δ+28n = 164	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 8 x (irr-D4-8a) + 16 x (irr-D4-8b)
clq-(1,0)-(1,0)-173-dc25079a	[vtx-C05-173-1-3]	Δ = 173	Δ+28n = 173	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 14 x (irr-C5-10) + 2 x (irr-C5-44)
clq-(1,0)-(1,0)-173-58ac3a53	[vtx-B04-173-4-6]	Δ = 173	Δ+28n = 173	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 9 x (irr-B4-9) + 8 x (irr-B4-16)
clq-(1,0)-(1,0)-176-e993e405	[vtx-A09-176-1-3]	Δ = 176	Δ+28n = 176	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1]]	b0.bi = [3]	(1) : 14 x (irr-A9-10) + 3 x (irr-A9-45)
clq-(1,0)-(1,0)-176-a9090518	[vtx-A04-176-4-6]	Δ = 176	Δ+28n = 176	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 28 x (irr-A4-5) + 6 x (irr-A4-10)
clq-(1,0)-(1,0)-182-c3c0edc4	[vtx-F04-182-4-6]	Δ = 182	Δ+28n = 182	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4]]	b0.bi = [6]	(1) : 9 x (irr-F4-26)
