clq-(2,0)-(1,0)-178-8f6da103	[vtx-A03-83-1-3, vtx-A05-119-1-3]	Δ = 178	Δ+28n = 178	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 15 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A5-6)
clq-(2,0)-(1,0)-178-7971e627	[vtx-A03-83-1-3, vtx-C03-119-1-3]	Δ = 178	Δ+28n = 178	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-A3-4, irr-C3-6)
clq-(2,0)-(1,0)-179-164f4491	[vtx-A03-83-1-3, vtx-A05-120-1-3]	Δ = 179	Δ+28n = 179	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 16 x (irr-A5-6) + 2 x (irr-A5-20-h) + 1 x (irr-A5-15)	(1,2) : 1 x (irr-A3-4, irr-A5-6)
clq-(2,0)-(1,0)-180-b11db4d4	[vtx-A03-83-1-3, vtx-A05-121-1-3]	Δ = 180	Δ+28n = 180	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 14 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 17 x (irr-A5-6) + 3 x (irr-A5-20-h)	(1,2) : 1 x (irr-A3-4, irr-A5-6)
clq-(2,0)-(1,0)-186-1af55c2d	[vtx-A04-101-1-3, vtx-C03-115-1-3]	Δ = 186	Δ+28n = 186	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 13 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-C3-6)
clq-(2,0)-(1,0)-186-9ff34f44	[vtx-A06-134-1-3, vtx-C02-80-1-3]	Δ = 186	Δ+28n = 186	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A6-7) + 3 x (irr-A6-21)	(2) : 13 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A6-7, irr-C2-4)
clq-(2,0)-(1,0)-189-259f8c6f	[vtx-A03-83-1-3, vtx-A06-134-1-3]	Δ = 189	Δ+28n = 189	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 13 x (irr-A6-7) + 3 x (irr-A6-21)	(1,2) : 1 x (irr-A3-4, irr-A6-7)
clq-(2,0)-(1,0)-189-5b5fb4b7	[vtx-A04-101-1-3, vtx-A05-118-1-3]	Δ = 189	Δ+28n = 189	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 13 x (irr-A5-6) + 3 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A5-6)
clq-(2,0)-(1,0)-190-1f549d99	[vtx-A04-101-1-3, vtx-A05-119-1-3]	Δ = 190	Δ+28n = 190	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 14 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(1,2) : 1 x (irr-A4-5, irr-A5-6)
clq-(2,0)-(1,0)-190-f85121e0	[vtx-A04-101-1-3, vtx-C03-119-1-3]	Δ = 190	Δ+28n = 190	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1], [1, 1]]	b0.bi = [3, 3]	(1) : 13 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 16 x (irr-C3-6) + 1 x (irr-C3-14b)	(1,2) : 1 x (irr-A4-5, irr-C3-6)
