clq-(5,0)-(1,0)-245-1edf6077	[vtx-A04-101-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 3 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 3 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 3 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 3 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 3 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A4-5, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A4-5, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A4-5, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 1 x (irr-A4-5, irr-C2-4)
clq-(5,0)-(1,0)-245-85cabdef	[vtx-A05-118-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 3 x (irr-A5-15)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A5-6, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-A5-6, irr-C3-6)
clq-(5,0)-(1,0)-245-bc4c3795	[vtx-A07-149-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 3 x (irr-A7-28)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C2-5)	(1,2) : 1 x (irr-A7-8, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A7-8, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A7-8, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 1 x (irr-A7-8, irr-C2-4)
clq-(5,0)-(1,0)-245-29ceb088	[vtx-A03-149-4-6, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 245	Δ+28n = 245	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[4, 2, 2, 2, 2], [2, 1, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1, 1, 1], [2, 1, 1, 1, 1]]	b0.bi = [6, 3, 3, 3, 3]	(1) : 6 x (irr-A3-6)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C2-5)	(1,2) : 2 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 2 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 2 x (irr-A3-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 2 x (irr-A3-4, irr-C2-4)
clq-(5,0)-(1,0)-246-5ca21be7	[vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-119-1-3, vtx-C03-115-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-C2-5)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 3 x (irr-C3-6) + 1 x (irr-C3-14b)	(5) : 2 x (irr-C3-14a)	(1,2) : 1 x (irr-C2-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C3-6)	(4,5) : 1 x (irr-C3-6, irr-C3-6)	(1,3) : 1 x (irr-C2-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C3-6)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-C2-4, irr-C3-6)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-C2-4, irr-C3-6)
clq-(5,0)-(1,0)-246-9cb2cfc1	[vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 2 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A3-4, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-A3-4, irr-C3-6)
clq-(5,0)-(1,0)-246-8fbb1776	[vtx-A03-83-1-3, vtx-A03-83-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 4 x (irr-A3-4) + 3 x (irr-A3-6)	(2) : 4 x (irr-A3-4) + 3 x (irr-A3-6)	(3) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 4 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A3-4, irr-A3-4)	(2,3) : 1 x (irr-A3-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A3-4, irr-C2-4)	(2,4) : 1 x (irr-A3-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A3-4, irr-C2-4)	(2,5) : 1 x (irr-A3-4, irr-C2-4)	(1,5) : 1 x (irr-A3-4, irr-C2-4)
clq-(5,0)-(1,0)-246-eda34612	[vtx-A04-101-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 1 x (irr-A4-5) + 3 x (irr-A4-10)	(2) : 1 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 1 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 1 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 1 x (irr-C3-6) + 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A4-5, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A4-5, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A4-5, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-A4-5, irr-C3-6)
clq-(5,0)-(1,0)-246-a58d3f9b	[vtx-A05-118-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 2 x (irr-A5-6) + 3 x (irr-A5-15)	(2) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(3) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(4) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(5) : 2 x (irr-C2-4) + 2 x (irr-C2-5)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C2-4)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C2-4)	(1,4) : 1 x (irr-A5-6, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C2-4)	(1,5) : 1 x (irr-A5-6, irr-C2-4)
clq-(5,0)-(1,0)-246-51f421df	[vtx-A05-119-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C02-80-1-3, vtx-C03-115-1-3]	Δ = 246	Δ+28n = 246	Tmin = 0	npos,nneg = [1, 0]	bi.bj = [[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]]	b0.bi = [3, 3, 3, 3, 3]	(1) : 1 x (irr-A5-6) + 1 x (irr-A5-20-h) + 2 x (irr-A5-15)	(2) : 2 x (irr-C2-5)	(3) : 2 x (irr-C2-5)	(4) : 2 x (irr-C2-5)	(5) : 2 x (irr-C3-14a)	(1,2) : 1 x (irr-A5-6, irr-C2-4)	(2,3) : 1 x (irr-C2-4, irr-C2-4)	(3,4) : 1 x (irr-C2-4, irr-C2-4)	(4,5) : 1 x (irr-C2-4, irr-C3-6)	(1,3) : 1 x (irr-A5-6, irr-C2-4)	(2,4) : 1 x (irr-C2-4, irr-C2-4)	(3,5) : 1 x (irr-C2-4, irr-C3-6)	(1,4) : 1 x (irr-A5-6, irr-C2-4)	(2,5) : 1 x (irr-C2-4, irr-C3-6)	(1,5) : 1 x (irr-A5-6, irr-C3-6)
